Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-27,173.5500030517578,171.08999633789062,170.69365004992613,0.002321974413509604,False,False,True,PG
2024-09-30,173.1999969482422,172.50999450683594,170.71293522610154,0.010526790359232464,False,False,True,PG
2024-10-01,173.0399932861328,173.57000732421875,168.98252859082234,0.027147651130872953,False,True,False,PG
2024-10-02,171.9199981689453,172.3800048828125,167.74056450969854,0.027658428279855405,False,True,False,PG
2024-10-04,168.8800048828125,171.27999877929688,170.200034541292,0.006345264505471376,True,True,True,PG
2024-10-07,167.1199951171875,169.5399932861328,169.4755942790062,0.0003799898587202518,True,True,True,PG
2024-10-08,168.16000366210938,169.6999969482422,171.2070747479609,-0.008802660765843443,True,True,True,PG
2024-10-10,168.9499969482422,169.6199951171875,170.20172822949206,-0.003417903674398536,True,True,True,PG
2024-10-11,171.08999633789062,168.22000122070312,172.13373018771298,-0.022736560479703263,True,False,False,PG
2024-10-15,173.57000732421875,167.1699981689453,171.32917162275226,-0.02427592110796508,False,False,True,PG
2024-10-16,172.3800048828125,166.16000366210938,169.48069039558004,-0.01959330426209585,False,False,True,PG
2024-10-17,172.27999877929688,165.17999267578125,168.84017414954846,-0.021678380114233013,False,False,True,PG
2024-10-21,169.5399932861328,165.0800018310547,168.05045901929037,-0.017675983782315694,False,False,True,PG
2024-10-22,169.6999969482422,165.75999450683594,169.5814406721704,-0.022534577782730162,False,False,True,PG
2024-10-23,169.5800018310547,161.0500030517578,169.81163741074135,-0.05159619501101006,True,False,False,PG
2024-10-24,169.6199951171875,163.41000366210938,169.55687094558397,-0.036252540219660644,False,False,True,PG
2024-10-25,168.22000122070312,167.7100067138672,168.40328133834134,-0.004116752470406375,True,False,False,PG
2024-10-28,169.3000030517578,166.02999877929688,168.63911876734804,-0.01547161777837955,False,False,True,PG
2024-10-29,167.1699981689453,165.83999633789062,169.93382137401716,-0.02409070191575458,True,False,False,PG
2024-10-30,166.16000366210938,166.5800018310547,170.0326843623493,-0.020305993193266012,True,True,True,PG
2024-11-01,165.10000610351562,169.5399932861328,170.76678930637144,-0.007184043368278347,True,True,True,PG
2024-11-04,165.0800018310547,170.75,172.12197704922667,-0.00797095799587689,True,True,True,PG
2024-11-05,165.75999450683594,170.75999450683594,172.72637878815198,-0.011384388968912496,True,True,True,PG
2024-11-06,161.0500030517578,170.88999938964844,170.9120991356935,-0.00012930474879670038,True,True,True,PG
2024-11-08,167.7100067138672,176.27999877929688,176.43732192074648,-0.000891665888696026,True,True,True,PG
2024-11-11,166.02999877929688,177.38999938964844,172.7555272200584,0.02682676638002193,True,True,True,PG
2024-11-12,165.83999633789062,179.30999755859375,170.03748806538266,0.05453214816750076,True,True,True,PG
2024-11-13,166.5800018310547,179.36000061035156,170.2955228073553,0.053227927860736206,True,True,True,PG
2024-11-14,167.0800018310547,179.25999450683594,170.44955059598763,0.05168945227512793,True,True,True,PG
2024-11-15,169.5399932861328,179.6999969482422,174.3383952598674,0.030753992431689046,True,True,True,PG
2024-11-18,170.75,175.4199981689453,172.9540609137806,0.014257758633340209,True,True,True,PG
2024-11-19,170.75999450683594,175.11000061035156,169.7356428359516,0.03166310672646543,False,True,False,PG
2024-11-20,170.88999938964844,176.02999877929688,169.50156115022202,0.038515501478414,False,True,False,PG
2024-11-21,172.75,173.82000732421875,169.43146745499183,0.025901563240563325,False,True,False,PG
2024-11-22,176.27999877929688,170.7899932861328,171.04356818660227,-0.0014825164322625594,False,False,True,PG
2024-11-25,177.38999938964844,172.27999877929688,172.61391967031852,-0.0019344957327857213,False,False,True,PG
2024-11-26,179.30999755859375,170.6300048828125,170.64190575701952,-6.974180318849063e-05,False,False,True,PG
2024-11-27,179.36000061035156,170.85000610351562,169.02910175450666,0.010772726886128773,False,False,True,PG
2024-11-29,179.25999450683594,171.05999755859375,168.5721183539771,0.014758545060176998,False,False,True,PG
2024-12-02,179.6999969482422,171.13999938964844,169.4949566124387,0.009705555906133752,False,False,True,PG
2024-12-05,176.02999877929688,169.19000244140625,168.45525455875355,0.004361679809735077,False,False,True,PG
2024-12-09,170.7899932861328,168.11000061035156,164.3436960496377,0.02291724386906991,False,False,True,PG
2024-12-10,172.27999877929688,168.94000244140625,167.7503261867022,0.00709194599943703,False,False,True,PG
2024-12-11,170.6300048828125,170.16000366210938,167.32063631077006,0.016969618416138883,False,False,True,PG
2024-12-12,170.85000610351562,169.52999877929688,169.74680123655676,-0.0012772108557012232,False,False,True,PG
2024-12-13,171.05999755859375,167.08999633789062,170.63250323304277,-0.020761032206823665,False,False,True,PG
2024-12-18,169.0800018310547,165.1300048828125,170.55496189310708,-0.031807676247464396,True,False,False,PG
2024-12-20,168.05999755859375,161.3000030517578,170.43412380469456,-0.0535932625992422,True,False,False,PG
2024-12-23,168.11000061035156,162.10000610351562,171.69514126131855,-0.05588472153209749,True,False,False,PG
