Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-27,116.43000030517578,115.83999633789062,108.16997738202804,0.07090709586426268,False,False,True,CNI
2024-09-30,117.1500015258789,115.5199966430664,110.5183123022885,0.04525661165633208,False,False,True,CNI
2024-10-01,117.12000274658203,115.66000366210938,114.40239465540299,0.010992855617179116,False,False,True,CNI
2024-10-02,115.94999694824219,115.87999725341797,110.00350543404505,0.05342095050685718,False,False,True,CNI
2024-10-04,113.54000091552734,113.62000274658203,106.45532759974014,0.06730217555461616,False,True,False,CNI
2024-10-07,113.08000183105469,112.26000213623047,107.75516511507527,0.04180622818724591,False,False,True,CNI
2024-10-08,113.44000244140625,112.23999786376953,110.65964907695201,0.014281165718486597,False,False,True,CNI
2024-10-10,115.0999984741211,110.81999969482422,108.71329451217122,0.019378542358654594,False,False,True,CNI
2024-10-11,115.83999633789062,110.97000122070312,110.39334616462662,0.005223639613356351,False,False,True,CNI
2024-10-15,115.66000366210938,110.29000091552734,110.04007704797147,0.0022712076750630176,False,False,True,CNI
2024-10-16,115.87999725341797,109.80999755859375,108.23307052789158,0.014569733843925205,False,False,True,CNI
2024-10-17,114.44000244140625,107.91999816894531,111.29100812249987,-0.03029004778035648,False,False,True,CNI
2024-10-21,112.26000213623047,108.0,106.97392404660894,0.00959183242585354,False,False,True,CNI
2024-10-22,112.23999786376953,109.01000213623047,110.29582207304486,-0.011657920605214223,False,False,True,CNI
2024-10-23,111.98999786376953,112.31999969482422,103.64979630032786,0.08364901528001294,False,True,False,CNI
2024-10-24,110.81999969482422,113.33999633789062,107.58518554694689,0.05349073630990312,False,True,False,CNI
2024-10-25,110.97000122070312,110.80000305175781,108.74551711975732,0.018892603450843506,False,False,True,CNI
2024-10-28,111.20999908447266,111.63999938964844,108.76686649771352,0.026415515905253314,False,True,False,CNI
2024-10-29,110.29000091552734,111.56999969482422,110.57250379548191,0.009021193019082835,True,True,True,CNI
2024-10-30,109.80999755859375,111.38999938964844,109.71129515108572,0.01530110674795095,False,True,False,CNI
2024-11-01,108.20999908447266,108.9000015258789,107.22758123698645,0.015596922635009312,False,True,False,CNI
2024-11-04,108.0,108.52999877929688,106.76331349633244,0.016547681269044923,False,True,False,CNI
2024-11-05,109.01000213623047,106.70999908447266,109.19743747023011,-0.022779274343645597,True,False,False,CNI
2024-11-06,112.31999969482422,106.83999633789062,108.96904251083856,-0.01953808277920927,False,False,True,CNI
2024-11-08,110.80000305175781,111.23999786376953,112.3853706301,-0.010191475633428254,True,True,True,CNI
2024-11-11,111.63999938964844,111.77999877929688,101.9753133306919,0.09614763738758739,False,True,False,CNI
2024-11-12,111.56999969482422,109.63999938964844,105.64480665925868,0.03781721843910084,False,False,True,CNI
2024-11-13,111.38999938964844,111.26000213623047,110.04165100378634,0.011071727126324246,False,False,True,CNI
2024-11-14,110.05000305175781,111.69000244140625,106.22058047998547,0.051491169947535255,False,True,False,CNI
2024-11-15,108.9000015258789,111.12000274658203,106.27598763939744,0.04557958213120261,False,True,False,CNI
2024-11-18,108.52999877929688,109.16000366210938,108.22996663245863,0.008593156392712275,False,True,False,CNI
2024-11-19,106.70999908447266,109.66000366210938,109.78418994943326,-0.0011311855320978415,True,True,True,CNI
2024-11-20,106.83999633789062,109.30999755859375,111.33899196984044,-0.018223574467032183,True,True,True,CNI
2024-11-21,109.19999694824219,106.95999908447266,106.44738216696283,0.004815683646459159,False,False,True,CNI
2024-11-22,111.23999786376953,106.37999725341797,110.36797446162666,-0.036133463784779815,False,False,True,CNI
2024-11-25,111.77999877929688,106.30000305175781,110.56184194107124,-0.03854710462932552,False,False,True,CNI
2024-11-26,109.63999938964844,105.12999725341797,113.94171668919546,-0.07733532275815766,True,False,False,CNI
2024-11-27,111.26000213623047,104.66999816894531,103.48099249548773,0.01149008764589722,False,False,True,CNI
2024-11-29,111.69000244140625,103.83000183105469,108.99351407262003,-0.04737449090892698,False,False,True,CNI
2024-12-02,111.12000274658203,102.7699966430664,111.92878504342872,-0.0818269259047945,True,False,False,CNI
2024-12-05,109.30999755859375,100.62000274658203,111.28095406788884,-0.09580212005374178,True,False,False,CNI
2024-12-09,106.37999725341797,102.47000122070312,102.78244575949782,-0.0030398628529018186,False,False,True,CNI
2024-12-10,106.30000305175781,102.9000015258789,106.92690117834388,-0.03766030445180948,True,False,False,CNI
2024-12-11,105.12999725341797,102.66000366210938,109.07561642216285,-0.05881802890962074,True,False,False,CNI
2024-12-12,104.66999816894531,101.97000122070312,110.88487348252306,-0.08039755091775472,True,False,False,CNI
2024-12-13,103.83000183105469,100.77999877929688,108.51595843506601,-0.07128868202733697,True,False,False,CNI
2024-12-18,101.4000015258789,102.52999877929688,106.1744555949515,-0.03432517544104942,True,True,True,CNI
2024-12-20,101.16999816894531,104.33999633789062,105.0329932481892,-0.006597897373647615,True,True,True,CNI
2024-12-23,102.47000122070312,102.4000015258789,108.06332040822514,-0.05240741133024794,True,False,False,CNI
