,Date,Open,High,Low,Close,Adj Close,Volume,stop_loss
0,2024-08-07,73.47000122070312,74.13999938964844,73.0,73.27999877929688,72.7867660522461,12379400,-0.019342808792051656
1,2024-08-08,73.0,73.80999755859375,72.79000091552734,73.36000061035156,72.86622619628906,11680200,-0.019342808792051656
2,2024-08-09,73.54000091552734,73.70999908447266,72.3499984741211,73.61000061035156,73.11454772949219,8354200,-0.019342808792051656
3,2024-08-12,73.62999725341797,73.7699966430664,73.19000244140625,73.73999786376953,73.24366760253906,7513500,-0.019342808792051656
4,2024-08-13,74.05000305175781,74.23999786376953,73.72000122070312,74.16999816894531,73.6707763671875,8537500,-0.019342808792051656
5,2024-08-14,74.0,74.55999755859375,73.56999969482422,74.12000274658203,73.6211166381836,8083000,-0.019342808792051656
6,2024-08-15,73.69000244140625,74.33000183105469,73.44000244140625,74.11000061035156,73.6111831665039,9403800,-0.019342808792051656
7,2024-08-16,74.19000244140625,74.69000244140625,73.87000274658203,74.44000244140625,73.93896484375,6761400,-0.019342808792051656
8,2024-08-19,74.51000213623047,74.9800033569336,74.44999694824219,74.93000030517578,74.4256591796875,5752700,-0.019342808792051656
9,2024-08-20,74.93000030517578,75.18000030517578,74.69000244140625,74.7699966430664,74.26673889160156,7994900,-0.019342808792051656
10,2024-08-21,74.87999725341797,75.52999877929688,74.77999877929688,75.30000305175781,74.79317474365234,6725900,-0.019342808792051656
11,2024-08-22,75.37999725341797,75.54000091552734,74.91000366210938,75.20999908447266,74.70377349853516,7324000,-0.019342808792051656
12,2024-08-23,75.47000122070312,75.77999877929688,75.19999694824219,75.41999816894531,74.91236114501953,7525200,-0.019342808792051656
13,2024-08-26,75.68000030517578,76.22000122070312,75.66999816894531,75.91000366210938,75.3990707397461,6668200,-0.019342808792051656
14,2024-08-27,75.75,76.0199966430664,75.27999877929688,75.30999755859375,74.8031005859375,8333400,-0.019342808792051656
15,2024-08-28,75.54000091552734,75.95999908447266,75.25,75.30999755859375,74.8031005859375,5241400,-0.019342808792051656
16,2024-08-29,75.55999755859375,75.79000091552734,74.81999969482422,75.72000122070312,75.21034240722656,6379100,-0.019342808792051656
17,2024-08-30,75.86000061035156,76.4000015258789,75.58000183105469,76.29000091552734,75.7765121459961,8503700,-0.019342808792051656
