,Date,Open,High,Low,Close,Adj Close,Volume,stop_loss
0,2024-09-30,247.00999450683594,249.64999389648438,244.52000427246094,248.5,247.16041564941406,1016000,-0.03994599502021291
1,2024-10-01,247.3699951171875,250.99000549316406,244.38999938964844,248.13999938964844,246.80235290527344,1316400,-0.03994599502021291
2,2024-10-02,248.02000427246094,250.63999938964844,246.9499969482422,247.02999877929688,245.69833374023438,968300,-0.03994599502021291
3,2024-10-03,246.10000610351562,247.13999938964844,242.6699981689453,244.8800048828125,243.5599365234375,1213500,-0.03994599502021291
4,2024-10-04,246.72999572753906,249.36000061035156,245.7899932861328,247.9199981689453,246.5835418701172,1173100,-0.03994599502021291
5,2024-10-07,245.55999755859375,247.52000427246094,242.17999267578125,243.75999450683594,242.44595336914062,681900,-0.03994599502021291
6,2024-10-08,245.3699951171875,247.19000244140625,242.25999450683594,243.1999969482422,241.88897705078125,604700,-0.03994599502021291
7,2024-10-09,244.41000366210938,246.3800048828125,243.02999877929688,245.16000366210938,243.8384246826172,755800,-0.03994599502021291
8,2024-10-10,244.94000244140625,246.16000366210938,243.49000549316406,245.91000366210938,244.58438110351562,1235200,-0.03994599502021291
9,2024-10-11,246.72000122070312,250.55999755859375,245.88999938964844,250.1699981689453,248.8214111328125,1039700,-0.03994599502021291
10,2024-10-14,249.6300048828125,254.35000610351562,248.0500030517578,253.83999633789062,252.47161865234375,1012400,-0.03994599502021291
11,2024-10-15,254.13999938964844,256.9700012207031,253.39999389648438,254.3300018310547,252.958984375,1077900,-0.03994599502021291
12,2024-10-16,255.25,259.17999267578125,254.4199981689453,255.64999389648438,254.27186584472656,690900,-0.03994599502021291
13,2024-10-17,251.4600067138672,251.74000549316406,246.0,248.24000549316406,246.9018096923828,1996100,-0.03994599502021291
14,2024-10-18,249.07000732421875,253.0800018310547,247.41000366210938,252.3699951171875,251.00953674316406,1332500,-0.03994599502021291
15,2024-10-21,251.50999450683594,252.3300018310547,247.6999969482422,248.16000366210938,246.82225036621094,1278400,-0.03994599502021291
