Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker,LinearRegression_Predicted_Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead
2024-10-01,226.2100067138672,233.85000610351562,243.53629684448242,-0.0397734993365374,True,True,True,AAPL,,,
2024-10-02,226.77999877929688,231.77999877929688,234.00839920043944,-0.009522736913532042,True,True,True,AAPL,,,
2024-10-04,226.8000030517578,235.0,231.3901043701172,0.015600907565643498,True,True,True,AAPL,,,
2024-10-08,225.77000427246094,235.86000061035156,228.44050003051757,0.03247891936343519,True,True,True,AAPL,,,
2024-10-09,229.5399932861328,230.75999450683594,234.46800033569335,-0.015814549633845855,True,True,True,AAPL,,,
2024-10-10,229.0399932861328,230.57000732421875,234.58949996948243,-0.01713415411084714,True,True,True,AAPL,,,
2024-10-11,227.5500030517578,231.41000366210938,245.53569915771484,-0.05753010883575067,True,True,True,AAPL,,,
2024-10-14,231.3000030517578,233.39999389648438,229.77710510253905,0.015766970309459644,False,True,False,AAPL,,,
2024-10-15,233.85000610351562,233.6699981689453,236.5468977355957,-0.012162068470101423,True,False,False,AAPL,,,
2024-10-18,235.0,222.91000366210938,252.2310075378418,-0.11624662709771497,True,False,False,AAPL,,,
2024-10-21,236.47999572753906,222.00999450683594,247.35289566040038,-0.10245645633499523,True,False,False,AAPL,,,
2024-10-22,235.86000061035156,223.4499969482422,239.60280319213868,-0.06741493016232984,True,False,False,AAPL,,,
2024-10-23,230.75999450683594,222.72000122070312,230.6946971130371,-0.03456818033587697,False,False,True,AAPL,,,
2024-10-24,230.57000732421875,227.47999572753906,229.84530212402345,-0.010290862482836725,False,False,True,AAPL,,,
2024-10-25,231.41000366210938,226.9600067138672,229.17820022583007,-0.009678902748067195,False,False,True,AAPL,,,
2024-10-28,233.39999389648438,224.22999572753906,228.31179931640625,-0.017878198153089823,False,False,True,AAPL,,,
2024-10-29,233.6699981689453,224.22999572753906,225.56309875488282,-0.005910111337814273,False,False,True,AAPL,,,
