Date,Close,Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-01,83.73999786376953,90.45999908447266,88.33893,0.024010602171562413,True,True,True,VAC
2024-07-02,83.62000274658203,89.91000366210938,81.499596,0.10319570242966997,False,True,False,VAC
2024-07-03,83.16999816894531,88.30000305175781,72.880424,0.21157366546828224,False,True,False,VAC
2024-07-05,82.12999725341797,88.33999633789062,73.479805,0.2022350405896703,False,True,False,VAC
2024-07-09,81.43000030517578,87.9000015258789,68.51184,0.2829899251490871,False,True,False,VAC
2024-07-10,85.47000122070312,81.5,70.9102,0.1493409646427902,False,False,True,VAC
2024-07-11,88.19000244140625,85.37000274658203,76.659874,0.11362044227272732,False,False,True,VAC
2024-07-15,86.76000213623047,85.44999694824219,73.29067,0.16590548652428522,False,False,True,VAC
2024-07-16,90.45999908447266,87.2300033569336,73.71013,0.18341949465777707,False,False,True,VAC
2024-07-17,89.91000366210938,84.58000183105469,85.448746,-0.010166841995018187,False,False,True,VAC
2024-07-19,88.33999633789062,76.66000366210938,73.06019,0.049271914742310186,False,False,True,VAC
2024-07-22,88.12999725341797,71.98999786376953,71.68136,0.004305715370437444,False,False,True,VAC
2024-07-23,87.9000015258789,73.70999908447266,73.100044,0.00834411032494417,False,False,True,VAC
2024-07-24,81.5,73.05999755859375,72.20987,0.011773019132582444,False,False,True,VAC
2024-07-25,85.37000274658203,70.91000366210938,90.45844,-0.21610408542302584,True,False,False,VAC
2024-07-26,85.45999908447266,69.62000274658203,72.83098,-0.04408804766594784,False,False,True,VAC
2024-07-29,85.44999694824219,68.51000213623047,73.2098,-0.06419630346960713,False,False,True,VAC
2024-07-30,87.2300033569336,70.73999786376953,87.89947,-0.19521699162384618,True,False,False,VAC
2024-07-31,84.58000183105469,70.02999877929688,84.57949,-0.17202151217169975,False,False,True,VAC
2024-08-01,77.87999725341797,71.75,73.99991,-0.03040420582234871,False,False,True,VAC
2024-08-02,76.66000366210938,71.19000244140625,89.91009,-0.20820895237424472,True,False,False,VAC
2024-08-05,71.98999786376953,72.87999725341797,69.21095,0.0530124835503435,False,True,False,VAC
2024-08-08,70.91000366210938,72.20999908447266,70.02998,0.03112974549432017,False,True,False,VAC
2024-08-09,69.62000274658203,74.02999877929688,88.29925,-0.16160102523346534,True,True,True,VAC
2024-08-12,68.51000213623047,73.20999908447266,73.24006,-0.0004104285947477015,True,True,True,VAC
2024-08-13,70.73999786376953,72.83000183105469,71.190865,0.02302454504701414,True,True,True,VAC
2024-08-14,70.02999877929688,73.0999984741211,73.10979,-0.00013388786353998676,True,True,True,VAC
2024-08-15,71.75,73.4800033569336,87.2283,-0.1576128198014412,True,True,True,VAC
2024-08-16,71.19000244140625,74.0,71.75008,0.03135778834348848,True,True,True,VAC
2024-08-19,72.87999725341797,73.23999786376953,69.62107,0.05198034096798016,False,True,False,VAC
2024-08-21,72.4000015258789,73.11000061035156,73.91995,-0.010957146967912348,True,True,True,VAC
2024-08-22,72.20999908447266,71.68000030517578,70.739784,0.013291192142368345,False,False,True,VAC
2024-08-23,74.02999877929688,70.36000061035156,85.36896,-0.1758128170388615,True,False,False,VAC
2024-08-27,72.83000183105469,69.20999908447266,71.989944,-0.03861574549702168,False,False,True,VAC
2024-08-29,73.4800033569336,73.29000091552734,74.030304,-0.01,True,False,False,VAC
2024-09-03,73.23999786376953,73.91999816894531,70.3607,0.05058641439169632,False,True,False,VAC
