Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-06-26,20.56999969482422,21.219999313354492,20.843670523085635,0.018054823398405306,True,True,True,ARCC
2024-06-27,20.799999237060547,21.190000534057617,20.74158417527589,0.02161919528385123,False,True,False,ARCC
2024-06-28,20.84000015258789,21.030000686645508,20.723283733460008,0.014800596137680247,False,True,False,ARCC
2024-07-03,20.959999084472656,20.850000381469727,20.626978077429627,0.010812165660084482,False,False,True,ARCC
2024-07-05,21.100000381469727,20.709999084472656,20.632208235093017,0.0037703598419157854,False,False,True,ARCC
2024-07-08,21.149999618530273,20.979999542236328,20.654362197614788,0.01576603244902648,False,False,True,ARCC
2024-07-10,21.149999618530273,20.760000228881836,20.761810327462186,-8.718404377077407e-05,False,False,True,ARCC
2024-07-11,21.219999313354492,20.770000457763672,20.806667810788454,-0.0017622885777880267,False,False,True,ARCC
2024-07-12,21.190000534057617,20.950000762939453,20.69817342835678,0.012166645305892764,False,False,True,ARCC
2024-07-16,21.020000457763672,21.280000686645508,20.827935161073142,0.02170476919945784,False,True,False,ARCC
2024-07-17,21.06999969482422,20.940000534057617,20.924857665352206,0.000723678456866379,False,False,True,ARCC
2024-07-18,20.850000381469727,20.829999923706055,20.897845847996464,-0.0032465510935383935,True,False,False,ARCC
2024-07-19,20.709999084472656,20.290000915527344,20.9163668695751,-0.02994621188055688,True,False,False,ARCC
2024-07-22,20.979999542236328,19.799999237060547,21.02257912663164,-0.058155561323221076,True,False,False,ARCC
2024-07-23,20.8700008392334,20.350000381469727,20.966767232057933,-0.0294164018592803,True,False,False,ARCC
2024-07-24,20.760000228881836,20.299999237060547,20.879783754854103,-0.02776774532728425,True,False,False,ARCC
2024-07-25,20.770000457763672,20.43000030517578,20.797450805210715,-0.01766805477635129,True,False,False,ARCC
2024-07-26,20.950000762939453,20.5,20.935574767700487,-0.020805484087902573,False,False,True,ARCC
2024-07-29,20.889999389648438,20.579999923706055,20.834577106716566,-0.012218975297964722,False,False,True,ARCC
2024-07-30,21.280000686645508,20.549999237060547,21.00910712278575,-0.02185280331248682,False,False,True,ARCC
2024-07-31,20.940000534057617,20.56999969482422,20.777842335458004,-0.01000309066158885,False,False,True,ARCC
2024-08-05,19.799999237060547,20.84000015258789,20.431961022556166,0.019970629817728396,True,True,True,ARCC
2024-08-06,20.350000381469727,20.780000686645508,20.970163016447728,-0.00906823326328309,True,True,True,ARCC
2024-08-07,20.299999237060547,20.950000762939453,20.85733111135825,0.004443025384524821,True,True,True,ARCC
2024-08-08,20.43000030517578,20.90999984741211,20.935169788112503,-0.001202280227728849,True,True,True,ARCC
2024-08-09,20.5,20.920000076293945,20.893380845449897,0.0012740509083212883,True,True,True,ARCC
2024-08-12,20.579999923706055,20.969999313354492,20.74341348692043,0.010923266152744455,True,True,True,ARCC
2024-08-13,20.549999237060547,21.079999923706055,20.60976937047282,0.02281590564069705,True,True,True,ARCC
2024-08-14,20.56999969482422,20.969999313354492,20.48341016809765,0.0237552800663384,False,True,False,ARCC
2024-08-16,20.739999771118164,21.079999923706055,20.33447525921885,0.03666308842413894,False,True,False,ARCC
2024-08-19,20.84000015258789,21.0,20.5964616906099,0.01959260359628066,False,True,False,ARCC
2024-08-20,20.780000686645508,20.93000030517578,20.53981998920655,0.01899628702560527,False,True,False,ARCC
2024-08-22,20.90999984741211,20.520000457763672,20.608156806544244,-0.004277740586318594,False,False,True,ARCC
2024-08-26,20.969999313354492,20.540000915527344,20.627249483319716,-0.004229772266192145,False,False,True,ARCC
2024-08-27,21.079999923706055,20.530000686645508,20.659847267127148,-0.006284972914017869,False,False,True,ARCC
2024-08-29,21.010000228881836,20.3700008392334,20.699968662990173,-0.015940498709388375,False,False,True,ARCC
