Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-30,135.44000244140625,139.25,138.24589935302734,0.007263149588318488,True,True,True,XLI
2024-10-01,135.50999450683594,138.17999267578125,135.56239685058594,0.019309158631064697,True,True,True,XLI
2024-10-02,135.25999450683594,139.25,136.62610397338867,0.0192049392488159,True,True,True,XLI
2024-10-03,134.57000732421875,138.85000610351562,136.63219818115235,0.016231956682881007,True,True,True,XLI
2024-10-07,135.17999267578125,138.77999877929688,138.71709915161134,0.0004534381707102493,True,True,True,XLI
2024-10-08,135.47999572753906,137.10000610351562,139.2702000427246,-0.015582615222375099,True,True,True,XLI
2024-10-09,136.69000244140625,136.6999969482422,138.99760391235353,-0.016529831446304065,True,True,True,XLI
2024-10-10,135.99000549316406,135.75999450683594,137.86559509277345,-0.015272850231564983,True,False,False,XLI
2024-10-11,138.4199981689453,135.39999389648438,140.03140197753908,-0.0330740677851499,True,False,False,XLI
2024-10-14,139.25,135.8000030517578,134.64989990234375,0.008541433378325488,False,False,True,XLI
2024-10-17,138.85000610351562,133.8300018310547,135.1171954345703,-0.009526497344588047,False,False,True,XLI
2024-10-18,139.27000427246094,134.00999450683594,137.57199981689453,-0.02589193523972574,False,False,True,XLI
2024-10-22,137.10000610351562,136.10000610351562,134.54090087890626,0.01158833644211022,False,False,True,XLI
2024-10-23,136.6999969482422,141.42999267578125,134.9370947265625,0.04811796165002673,False,True,False,XLI
2024-10-24,135.75999450683594,140.5800018310547,134.88909484863282,0.042189526060709165,False,True,False,XLI
2024-10-25,135.39999389648438,142.08999633789062,138.91920104980468,0.022824744629427875,True,True,True,XLI
2024-10-28,135.8000030517578,143.19000244140625,137.53609603881836,0.04110852761875782,True,True,True,XLI
2024-10-29,135.6199951171875,141.9600067138672,140.72609603881835,0.008768172427013584,True,True,True,XLI
2024-10-30,135.38999938964844,142.25999450683594,140.37379837036133,0.013436953038045473,True,True,True,XLI
2024-10-31,133.8300018310547,139.86000061035156,139.02509826660156,0.0060054073268767,True,True,True,XLI
2024-11-01,134.00999450683594,139.11000061035156,138.29339965820313,0.00590484400677611,True,True,True,XLI
2024-11-04,133.86000061035156,138.9199981689453,137.17099594116212,0.012750525107606625,True,True,True,XLI
2024-11-05,136.10000610351562,138.8000030517578,136.75120101928712,0.014981967377249801,True,True,True,XLI
2024-11-06,141.42999267578125,138.9499969482422,142.04590408325194,-0.02179511725445647,True,False,False,XLI
2024-11-07,140.5800018310547,140.69000244140625,132.69959884643555,0.060214225697980184,False,True,False,XLI
2024-11-08,142.08999633789062,142.64999389648438,132.47780151367186,0.07678412735255671,False,True,False,XLI
2024-11-12,141.9600067138672,143.7100067138672,140.73219512939454,0.02115941971724902,False,True,False,XLI
2024-11-15,139.11000061035156,142.92999267578125,139.560301361084,0.024145056164495304,True,True,True,XLI
2024-11-18,138.9199981689453,142.02999877929688,137.2794010925293,0.03460532060134478,False,True,False,XLI
2024-11-19,138.8000030517578,142.64999389648438,138.70810012817384,0.02841862706408646,False,True,False,XLI
2024-11-20,138.9499969482422,140.9199981689453,140.82860122680665,0.0006489941769105697,True,True,True,XLI
2024-11-21,140.69000244140625,140.55999755859375,138.83409439086915,0.01243140725120115,False,False,True,XLI
2024-11-25,143.5399932861328,139.0,134.09980239868165,0.03654142298248851,False,False,True,XLI
2024-11-26,143.7100067138672,138.67999267578125,138.28269882202147,0.0028730553940888815,False,False,True,XLI
2024-11-27,143.17999267578125,137.7899932861328,140.01829513549805,-0.01591436209967328,False,False,True,XLI
2024-11-29,143.99000549316406,137.42999267578125,140.53269485473632,-0.022078151864676213,False,False,True,XLI
2024-12-02,142.92999267578125,137.5500030517578,134.36209564208986,0.023726240607022234,False,False,True,XLI
2024-12-04,142.64999389648438,132.44000244140625,136.5207960510254,-0.02989136986934892,False,False,True,XLI
2024-12-05,140.9199981689453,132.27000427246094,139.9344044494629,-0.054771378112163635,False,False,True,XLI
2024-12-09,139.33999633789062,133.1199951171875,139.40939422607423,-0.04511460037397105,True,False,False,XLI
2024-12-10,139.0,134.16000366210938,135.48550384521485,-0.009783335821814492,False,False,True,XLI
2024-12-11,138.67999267578125,134.25999450683594,140.59359786987304,-0.04504901687557061,True,False,False,XLI
2024-12-12,137.7899932861328,133.25999450683594,137.0132034301758,-0.027393045556025942,False,False,True,XLI
2024-12-13,137.42999267578125,131.9199981689453,137.68439666748046,-0.04186675206528055,True,False,False,XLI
2024-12-17,136.2899932861328,131.3000030517578,135.87160034179686,-0.0336464520807792,False,False,True,XLI
2024-12-18,132.44000244140625,132.72000122070312,138.4514973449707,-0.041397140761770014,True,True,True,XLI
2024-12-19,132.27000427246094,132.42999267578125,135.04390243530273,-0.01935599988139973,True,True,True,XLI
2024-12-23,133.1199951171875,132.82000732421875,140.16969833374023,-0.05243423576486599,True,False,False,XLI
