Date,Close,Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-30,164.0800018310547,165.27000427246094,155.17518844391782,0.06505431654230925,False,True,False,AMD
2024-10-01,159.75,156.63999938964844,125.18827493293263,0.2512353850515594,False,False,True,AMD
2024-10-02,159.77999877929688,156.1300048828125,141.87882585342805,0.10044613030634346,False,False,True,AMD
2024-10-03,162.85000610351562,156.25,152.7902293437963,0.022643926061651425,False,False,True,AMD
2024-10-07,170.97000122070312,157.89999389648438,157.68812114804413,0.001343618954285896,False,False,True,AMD
2024-10-08,172.8000030517578,154.08999633789062,128.28832315361956,0.20112253827945598,False,False,True,AMD
2024-10-09,171.02000427246094,152.91000366210938,155.63889428621079,-0.017533474756529308,False,False,True,AMD
2024-10-10,164.17999267578125,153.44000244140625,127.13470954539072,0.20690882128160124,False,False,True,AMD
2024-10-11,167.88999938964844,156.22999572753906,149.19036128111028,0.04718558481914542,False,False,True,AMD
2024-10-14,165.27000427246094,159.9199981689453,122.28247383270569,0.307791649584481,False,False,True,AMD
2024-10-17,156.25,144.07000732421875,126.22763937581671,0.14135072189126566,False,False,True,AMD
2024-10-18,155.97000122070312,141.86000061035156,134.4239649711801,0.0553177823668994,False,False,True,AMD
2024-10-22,154.08999633789062,141.66000366210938,126.32720459281825,0.12137369079536177,False,False,True,AMD
2024-10-23,152.91000366210938,145.10000610351562,141.37749646653913,0.02633028402690333,False,False,True,AMD
2024-10-24,153.44000244140625,149.82000732421875,130.5006449802585,0.1480403590869822,False,False,True,AMD
2024-10-25,156.22999572753906,147.9499969482422,138.8453836728736,0.06557375574559612,False,False,True,AMD
2024-10-28,159.9199981689453,147.35000610351562,152.14170413019588,-0.031494967498061785,False,False,True,AMD
2024-10-29,166.25,143.6300048828125,138.94426517840972,0.03372387984769368,False,False,True,AMD
2024-10-30,148.60000610351562,139.3000030517578,141.82047342315914,-0.017772260313084952,False,False,True,AMD
2024-10-31,144.07000732421875,138.83999633789062,138.4979320628874,0.0024698150355624377,False,False,True,AMD
2024-11-01,141.86000061035156,134.89999389648438,139.12453433935292,-0.030365172202941826,False,False,True,AMD
2024-11-04,140.7100067138672,138.92999267578125,131.5268667758561,0.056286035556076384,False,False,True,AMD
2024-11-05,141.66000366210938,139.38999938964844,159.05071691834343,-0.12361288216505678,True,False,False,AMD
2024-11-06,145.10000610351562,137.60000610351562,137.76781941506266,-0.001218087883364497,False,False,True,AMD
2024-11-07,149.82000732421875,137.49000549316406,123.85785764708645,0.11006284223743223,False,False,True,AMD
2024-11-08,147.9499969482422,138.35000610351562,121.05088454287727,0.14290784925665584,False,False,True,AMD
2024-11-12,143.6300048828125,137.72000122070312,143.0916145639514,-0.03753967945373595,False,False,True,AMD
2024-11-15,134.89999389648438,142.05999755859375,138.11889111097585,0.028534159345742903,True,True,True,AMD
2024-11-18,138.92999267578125,141.97999572753906,126.8340651631137,0.11941532067861328,False,True,False,AMD
2024-11-19,139.38999938964844,143.99000549316406,164.2948714973252,-0.12358794781060292,True,True,True,AMD
2024-11-20,137.60000610351562,141.36000061035156,147.4550358482108,-0.04133487339241111,True,True,True,AMD
2024-11-21,137.49000549316406,138.58999633789062,155.59797324918725,-0.10930718798026158,True,True,True,AMD
2024-11-25,141.1300048828125,127.73999786376953,119.97781230446789,0.06469684194277131,False,False,True,AMD
2024-11-26,137.72000122070312,130.14999389648438,138.50753195781235,-0.060339953670343165,True,False,False,AMD
2024-11-27,136.24000549316406,130.60000610351562,141.43962699205727,-0.07663779323421405,True,False,False,AMD
2024-11-29,137.17999267578125,126.91000366210938,139.30878526719587,-0.0890021514530149,True,False,False,AMD
2024-12-02,142.05999755859375,126.69000244140625,124.97722612887584,0.013704707374159535,False,False,True,AMD
2024-12-04,143.99000549316406,121.41000366210938,155.73763428721944,-0.22041962292685954,True,False,False,AMD
2024-12-05,141.36000061035156,118.87999725341797,143.35446020494402,-0.17072690250820652,True,False,False,AMD
2024-12-09,130.8699951171875,124.5999984741211,145.01174069155905,-0.14075923866643236,True,False,False,AMD
2024-12-10,127.73999786376953,126.29000091552734,122.53553683709626,0.030639797852458277,False,False,True,AMD
2024-12-11,130.14999389648438,125.05999755859375,147.54910417083525,-0.15241777805850432,True,False,False,AMD
2024-12-12,130.60000610351562,125.19000244140625,153.2096960044249,-0.18288459734434434,True,False,False,AMD
2024-12-13,126.91000366210938,122.44000244140625,130.8679607186356,-0.06440047075654637,True,False,False,AMD
2024-12-17,125.0199966430664,120.62999725341797,143.46091873126326,-0.15914383986772795,True,False,False,AMD
2024-12-18,121.41000366210938,125.37000274658203,137.74124579601948,-0.08981509480288848,True,True,True,AMD
2024-12-19,118.87999725341797,129.5500030517578,126.92461363410068,0.020684635883356922,True,True,True,AMD
2024-12-23,124.5999984741211,121.83999633789062,141.33290236865196,-0.1379219254969812,True,False,False,AMD
