Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-30,87.80000305175781,92.7699966430664,92.97280670966397,-0.002181391245193885,True,True,True,XLE
2024-10-01,89.80000305175781,89.77999877929688,88.1596999328358,0.01837913295639037,False,False,True,XLE
2024-10-02,90.72000122070312,90.20999908447266,85.43978446525067,0.055831304457024805,False,False,True,XLE
2024-10-03,92.31999969482422,90.63999938964844,91.07342130026693,-0.004759038415714173,False,False,True,XLE
2024-10-07,93.51000213623047,90.06999969482422,90.13155036087227,-0.0006828981172698147,False,False,True,XLE
2024-10-08,91.06999969482422,90.27999877929688,90.32662524916553,-0.0005161985155543777,False,False,True,XLE
2024-10-09,91.62000274658203,89.80999755859375,89.84396969782668,-0.0003781237555195795,False,False,True,XLE
2024-10-10,92.23999786376953,89.80000305175781,93.6602920959202,-0.041215855276310186,True,False,False,XLE
2024-10-11,92.80999755859375,89.7699966430664,91.84800889602971,-0.022624467072722036,False,False,True,XLE
2024-10-14,92.7699966430664,89.19999694824219,86.76537997319625,0.028059774253256866,False,False,True,XLE
2024-10-17,90.63999938964844,88.58999633789062,88.9257896999563,-0.0037761077320614153,False,False,True,XLE
2024-10-18,90.33999633789062,88.02999877929688,94.87767813789576,-0.07217376619025631,True,False,False,XLE
2024-10-22,90.27999877929688,90.16999816894531,92.18625856477014,-0.021871593740928355,True,False,False,XLE
2024-10-23,89.80999755859375,93.55999755859375,93.44683514432465,0.0012109817747634106,True,True,True,XLE
2024-10-24,89.80000305175781,93.12999725341797,89.40432269911412,0.041672197068618556,False,True,False,XLE
2024-10-25,89.7699966430664,93.75,93.60619729657907,0.0015362519531192053,True,True,True,XLE
2024-10-28,89.19999694824219,94.27999877929688,90.29157235548548,0.044172743034185086,True,True,True,XLE
2024-10-29,87.83999633789062,93.77999877929688,90.47558882283792,0.036522668704918694,True,True,True,XLE
2024-10-30,88.04000091552734,94.51000213623047,92.52769828442604,0.021423896720211468,True,True,True,XLE
2024-10-31,88.58999633789062,94.87000274658203,93.17870358039076,0.01815113433867523,True,True,True,XLE
2024-11-01,88.02999877929688,94.7300033569336,91.49619606525042,0.035343625535830925,True,True,True,XLE
2024-11-04,89.56999969482422,95.98999786376953,89.5491749453395,0.07192498336653001,False,True,False,XLE
2024-11-05,90.16999816894531,95.37999725341797,89.02732625366357,0.07135641681132679,False,True,False,XLE
2024-11-06,93.55999755859375,96.33999633789062,92.98386541414689,0.036093691188203936,False,True,False,XLE
2024-11-07,93.12999725341797,97.12000274658203,85.35579776083307,0.13782549392499688,False,True,False,XLE
2024-11-08,93.75,97.2699966430664,91.55621735866652,0.06240733233895488,False,True,False,XLE
2024-11-12,93.77999877929688,95.22000122070312,92.77390668746447,0.02636619088898586,False,True,False,XLE
2024-11-15,94.7300033569336,94.5199966430664,93.98499434711238,0.005692422494362445,False,False,True,XLE
2024-11-18,95.98999786376953,94.51000213623047,85.67410997889698,0.10313374903468414,False,False,True,XLE
2024-11-19,95.37999725341797,92.2300033569336,90.9775859914846,0.013766218918648997,False,False,True,XLE
2024-11-20,96.33999633789062,92.58999633789062,89.5803224444546,0.0335974889496766,False,False,True,XLE
2024-11-21,97.12000274658203,91.0199966430664,87.16350681362019,0.04424431703617049,False,False,True,XLE
2024-11-25,95.3499984741211,90.25,86.76443241940446,0.04017276991736549,False,False,True,XLE
2024-11-26,95.22000122070312,90.4000015258789,90.35242088010567,0.0005266117422174584,False,False,True,XLE
2024-11-27,95.12000274658203,89.66999816894531,93.17804753242001,-0.037648882503726215,False,False,True,XLE
2024-11-29,95.52999877929688,89.22000122070312,90.9726073366208,-0.019265207046694866,False,False,True,XLE
2024-12-02,94.5199966430664,87.26000213623047,89.6527592006726,-0.026689162562039532,False,False,True,XLE
2024-12-04,92.2300033569336,84.05000305175781,90.1695269370932,-0.06786687357919345,False,False,True,XLE
2024-12-05,92.58999633789062,83.31999969482422,92.02389705321433,-0.09458301199042828,False,False,True,XLE
2024-12-09,90.87000274658203,83.93000030517578,93.02963903188066,-0.09781440432749065,True,False,False,XLE
2024-12-10,90.25,84.63999938964844,89.05458008734207,-0.049571630042654156,False,False,True,XLE
2024-12-11,90.4000015258789,84.56999969482422,92.43170238249148,-0.08505418038428808,True,False,False,XLE
2024-12-12,89.66999816894531,84.55999755859375,91.16275906921295,-0.0724282763930634,True,False,False,XLE
2024-12-13,89.22000122070312,84.55000305175781,89.21144511824804,-0.052251614804710016,False,False,True,XLE
2024-12-17,86.61000061035156,86.66000366210938,89.27539295896702,-0.02929574667971201,True,True,True,XLE
2024-12-18,84.05000305175781,87.47000122070312,90.37994021010843,-0.032196735056921916,True,True,True,XLE
2024-12-19,83.31999969482422,87.06999969482422,91.06763895543149,-0.043897473421527014,True,True,True,XLE
2024-12-23,83.93000030517578,88.02999877929688,91.57800030568625,-0.038742946062877384,True,True,True,XLE
