ticker,buy_price,overall_success_rate,predicted_higher_success_rate,last_date,adj_prediction_price,adj_price_higher,stop_loss,latest_close
MA,421.9800109863281,0.75,0.9230769230769232,2024-01-08,59693.456097324095,True,-0.0211121193827035,421.9800109863281
MA,429.1000061035156,0.7837837837837838,1.0,2024-01-12,87972.37688980106,True,-0.0211121193827035,429.1000061035156
MA,429.1000061035156,0.7567567567567568,1.0,2024-01-12,38756.737189801184,True,-0.0211121193827035,429.1000061035156
KR,47.63999938964844,0.8,0.9130434782608696,2024-02-16,17588.06396620952,True,-0.0331290922301532,47.63999938964844
KR,48.0,0.7428571428571429,0.9130434782608696,2024-02-20,8148.45890014246,True,-0.0331290922301532,48.0
CMI,262.8800048828125,0.5428571428571428,0.5806451612903226,2024-02-22,95688.97935013026,True,-0.0658474291785288,262.8800048828125
CMI,263.9700012207031,0.4444444444444444,0.5172413793103449,2024-02-23,587645.5184757069,True,-0.0658474291785288,263.9700012207031
CMI,263.9700012207031,0.4722222222222222,0.5333333333333333,2024-02-23,13451.796969986986,True,-0.0658474291785288,263.9700012207031
PRU,108.06999969482422,0.7428571428571429,0.7307692307692307,2024-02-23,136737.41416679684,True,-0.0566421237728922,108.06999969482422
PRU,108.01000213623048,0.6285714285714286,0.6956521739130435,2024-03-01,6913.270217322597,True,-0.0566421237728922,108.01000213623048
HPE,16.729999542236328,0.7777777777777778,0.5555555555555556,2024-03-15,2558.643649309798,True,-0.0881979295343612,16.729999542236328
CPB,42.310001373291016,0.6285714285714286,0.75,2024-04-12,20331.59720874068,True,-0.0373290185597001,42.310001373291016
SUN,49.869998931884766,0.7567567567567568,0.3846153846153846,2024-05-23,59.64371726450869,True,-0.0570044961977388,49.869998931884766
SUN,49.97999954223633,0.868421052631579,0.5454545454545454,2024-05-24,60.91724679807736,True,-0.0570044961977388,49.97999954223633
SUN,49.97999954223633,0.868421052631579,0.5454545454545454,2024-05-24,60.91724679807736,True,-0.0570044961977388,49.97999954223633
SYY,72.94999694824219,0.75,0.5833333333333334,2024-05-24,82.59854859622838,True,-0.0724522165638446,72.94999694824219
XLP,76.56999969482422,0.8611111111111112,0.9047619047619048,2024-07-02,10863.380589861106,True,-0.0212596449173354,76.56999969482422
DRI,142.27000427246094,0.6388888888888888,0.7,2024-07-12,84977.00931045346,True,-0.0335823784652157,142.27000427246094
BFIN,11.369999885559082,0.7222222222222222,0.7857142857142857,2024-08-13,10484.270564046235,True,-0.0651974302812866,11.369999885559082
PRU,109.5,0.6388888888888888,0.6666666666666666,2024-08-13,135.53536845341372,True,-0.0307481064465479,109.5
SUN,50.45000076293945,0.5833333333333334,0.7058823529411765,2024-08-14,58.039061392058095,True,-0.0563380502404296,50.45000076293945
SUN,52.09999847412109,0.6111111111111112,0.7692307692307693,2024-08-15,58.90593510143728,True,-0.0563380502404296,52.09999847412109
PRU,114.88999938964844,0.7837837837837838,0.8,2024-08-16,135.57320997212295,True,-0.0307481064465479,114.88999938964844
PRU,114.88999938964844,0.7837837837837838,0.8,2024-08-16,135.57320997212295,True,-0.0307481064465479,114.88999938964844
AAPL,226.0500030517578,0.8888888888888888,0.9090909090909092,2024-08-16,6272.761464015324,True,-0.0698238324264586,226.0500030517578
PRU,113.25,0.8333333333333334,0.9411764705882352,2024-09-06,131.86539147993255,True,-0.0216273927318419,113.25
