Date,Open,High,Low,Close,Adj Close,Volume,ALMA,Stochastic_RSI,Williams_%R,ROC,low_close_spread,minimum_low_close_spread
2024-06-17,213.3699951171875,218.9499969482422,212.72000122070312,216.6699981689453,216.41949462890625,93728300,,,,,-0.018568996453436234,-0.06770410343092315
2024-06-18,217.58999633789062,218.6300048828125,213.0,214.2899932861328,214.042236328125,79943300,,,,,-0.006056306507665786,-0.06770410343092315
2024-06-20,213.92999267578125,214.24000549316406,208.85000610351562,209.67999267578125,209.4375762939453,86172500,,,,,-0.003974079712759241,-0.06770410343092315
2024-06-21,210.38999938964844,211.88999938964844,207.11000061035156,207.49000549316406,207.2501220703125,246421400,,,,,-0.0018347973622356648,-0.06770410343092315
2024-06-24,207.72000122070312,212.6999969482422,206.58999633789062,208.13999938964844,207.89935302734375,80727000,,,,,-0.007502798195623603,-0.06770410343092315
2024-06-25,209.14999389648438,211.3800048828125,208.61000061035156,209.07000732421875,208.8282928466797,56713900,,,,,-0.0022051038421997933,-0.06770410343092315
2024-06-26,211.5,214.86000061035156,210.63999938964844,213.25,213.00344848632812,66213200,,,,,-0.01239081189666879,-0.06770410343092315
2024-06-27,214.69000244140625,215.74000549316406,212.35000610351562,214.10000610351562,213.85247802734375,49772700,,,,,-0.008241111135861783,-0.06770410343092315
2024-06-28,215.77000427246094,216.07000732421875,210.3000030517578,210.6199951171875,210.37648010253906,82542700,,,,,-0.0015215980065912454,-0.06770410343092315
2024-07-01,212.08999633789062,217.50999450683594,211.9199981689453,216.75,216.49940490722656,60402900,0.0,,,,-0.02279162831628636,-0.06770410343092315
2024-07-02,216.14999389648438,220.3800048828125,215.10000610351562,220.27000427246094,220.0153350830078,58046200,,,,1.6615157308067046,-0.024035323208950913,-0.06770410343092315
2024-07-03,220.0,221.5500030517578,219.02999877929688,221.5500030517578,221.29385375976562,37369800,208.9958533539526,,,3.387936904702312,-0.01150529282064322,-0.06770410343092315
2024-07-05,221.64999389648438,226.4499969482422,221.64999389648438,226.33999633789062,226.07830810546875,60412400,209.69499806669847,,,7.945442695560367,-0.02115949727296897,-0.06770410343092315
2024-07-08,227.08999633789062,227.85000610351562,223.25,227.82000732421875,227.55661010742188,59085900,211.18710957054248,,-0.14110425925287773,9.798063180312788,-0.020470357555291155,-0.06770410343092315
2024-07-09,227.92999267578125,229.39999389648438,226.3699951171875,228.67999267578125,228.4156036376953,48076100,212.70236464187755,,-3.1565159919618724,9.868354639360271,-0.010204521837789976,-0.06770410343092315
2024-07-10,229.3000030517578,233.0800018310547,229.25,232.97999572753906,232.71063232421875,62627700,214.23901507549203,,-0.377523906295274,11.436355079971612,-0.016270428473452836,-0.06770410343092315
2024-07-11,231.38999938964844,232.38999938964844,225.77000427246094,227.57000732421875,227.30690002441406,64710600,215.8556548753201,,-20.800276950708184,6.715126529528136,-0.007972728961751515,-0.06770410343092315
2024-07-12,228.9199981689453,232.63999938964844,228.67999267578125,230.5399932861328,230.27345275878906,53046500,218.34602325523207,,-9.588554240116498,7.678648628654679,-0.008133639452178227,-0.06770410343092315
2024-07-15,236.47999572753906,237.22999572753906,233.08999633789062,234.39999389648438,234.12899780273438,62631300,221.7975799614581,,-9.88819816169414,11.290475420467962,-0.005620136338647321,-0.06770410343092315
2024-07-16,235.0,236.27000427246094,232.3300018310547,234.82000732421875,234.54852294921875,43234300,224.45702452558098,,-8.949086738845157,8.336796920054786,-0.010717537440449641,-0.06770410343092315
2024-07-17,229.4499969482422,231.4600067138672,226.63999938964844,228.8800048828125,228.61538696289062,57345900,226.7407569055191,,-31.006287098755504,3.908839353224646,-0.009883539971745925,-0.06770410343092315
2024-07-18,230.27999877929688,230.44000244140625,222.27000427246094,224.17999267578125,223.92080688476562,66034600,228.7072628197732,,-48.45899220572003,1.187086250415906,-0.008593100133201187,-0.06770410343092315
2024-07-19,224.82000732421875,226.8000030517578,223.27999877929688,224.30999755859375,224.0506591796875,49151500,229.74051716939175,,-51.047014678823864,-0.8968802739867507,-0.004613036478538261,-0.06770410343092315
2024-07-22,227.00999450683594,227.77999877929688,223.08999633789062,223.9600067138672,223.70108032226562,48201800,230.4622701190755,,-59.96382844782946,-1.694320290692581,-0.0038998179670004145,-0.06770410343092315
2024-07-23,224.3699951171875,226.94000244140625,222.67999267578125,225.00999450683594,224.74984741210938,39960300,231.1240335746939,,-67.14287510846736,-1.6048619409169633,-0.010463453869639448,-0.06770410343092315
2024-07-24,224.0,224.8000030517578,217.1300048828125,218.5399932861328,218.28732299804688,61777600,231.32740542575058,,-92.98512912661234,-6.197958067736109,-0.006493751999320864,-0.06770410343092315
2024-07-25,218.92999267578125,220.85000610351562,214.6199951171875,217.49000549316406,217.23855590820312,51391200,231.69699943399408,,-87.30645599955189,-4.429406998565377,-0.01337252092662415,-0.06770410343092315
2024-07-26,218.6999969482422,219.49000549316406,216.00999450683594,217.9600067138672,217.7080078125,41601300,230.2699777363329,,-85.22772442938137,-5.456748043126764,-0.00902741658543739,-0.06770410343092315
2024-07-29,216.9600067138672,219.3000030517578,215.75,218.24000549316406,217.98768615722656,36311800,227.54039898636702,,-83.98933976888435,-6.8941931843466175,-0.011541161034364136,-0.06770410343092315
2024-07-30,219.19000244140625,220.3300018310547,216.1199951171875,218.8000030517578,218.5470428466797,41643800,224.98722780471823,4.834418199256581,-81.51257044789033,-6.822248434027995,-0.012400555224504435,-0.06770410343092315
2024-07-31,221.44000244140625,223.82000732421875,220.6300048828125,222.0800018310547,221.8232421875,50036300,223.65251911065863,13.67983836127594,-67.00572086472319,-2.9709904345901434,-0.006572075040347992,-0.06770410343092315
2024-08-01,224.3699951171875,224.47999572753906,217.02000427246094,218.36000061035156,218.1075439453125,62501000,222.6939991210384,15.293662335691465,-83.45862276778634,-2.5961246567827354,-0.006174529128698694,-0.06770410343092315
2024-08-02,219.14999389648438,225.60000610351562,217.7100067138672,219.86000061035156,219.60580444335938,105568600,221.12999541503964,18.410775192909224,-75.79675160604855,-1.9838602811627999,-0.009875494144419728,-0.06770410343092315
2024-08-05,199.08999633789062,213.5,196.0,209.27000427246094,209.02806091308594,119548600,219.45956256906192,8.78683403893781,-62.57754720821445,-6.559207894726622,-0.06770410343092315,-0.06770410343092315
2024-08-06,205.3000030517578,209.99000549316406,201.07000732421875,207.22999572753906,206.9904022216797,69660500,218.1669410110387,5.9070759552844265,-67.3925814998272,-7.9018706783518935,-0.030636038090890078,-0.06770410343092315
2024-08-07,206.89999389648438,213.63999938964844,206.38999938964844,209.82000732421875,209.57742309570312,63516400,218.4119250081397,7.419516052852296,-56.513505805350086,-3.9901099248671836,-0.01661906073314493,-0.06770410343092315
2024-08-08,213.11000061035156,214.1999969482422,208.8300018310547,213.30999755859375,213.06338500976562,47161100,218.96334869183886,23.963689108226955,-45.53178658436459,-1.9219310446436557,-0.021452835743225335,-0.06770410343092315
2024-08-09,212.10000610351562,216.77999877929688,211.97000122070312,216.24000549316406,215.99000549316406,42201600,219.22180469778894,47.44640088822964,-34.583051402486774,-0.7891361569653017,-0.020144380090912063,-0.06770410343092315
2024-08-12,216.07000732421875,219.50999450683594,215.60000610351562,217.52999877929688,217.52999877929688,38028100,218.6636687672471,70.08662063276397,-27.26353263575938,-0.3253329802034976,-0.008951728298442655,-0.06770410343092315
2024-08-13,219.00999450683594,221.88999938964844,219.00999450683594,221.27000427246094,221.27000427246094,44155300,216.83898234602705,86.87578091072264,-14.628381548003834,1.1288853684882438,-0.010319208357198779,-0.06770410343092315
2024-08-14,220.57000732421875,223.02999877929688,219.6999969482422,221.72000122070312,221.72000122070312,41960600,213.7683975066513,96.72640246405331,-13.108121901203484,-0.16210401989524012,-0.009194375514428515,-0.06770410343092315
2024-08-15,224.60000610351562,225.35000610351562,222.75999450683594,224.72000122070312,224.72000122070312,46414000,211.4874717993713,100.0,-2.972988855931291,2.912621630598246,-0.008798737485186281,-0.06770410343092315
