Date,Close,Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-18,74.19000244140625,75.11000061035156,75.090546,0.0002590866251559092,True,True,True,SBUX
2024-07-19,79.2699966430664,75.87999725341797,91.55983,-0.1712523112792092,True,False,False,SBUX
2024-07-22,76.55000305175781,73.86000061035156,96.43906,-0.23412771370662144,True,False,False,SBUX
2024-07-25,73.31999969482422,75.75,95.30003,-0.20514193791036,True,True,True,SBUX
2024-07-26,74.05000305175781,75.08999633789062,95.62882,-0.21477652332275513,True,True,True,SBUX
2024-07-29,75.19999694824219,77.02999877929688,93.01049,-0.1718138627853123,True,True,True,SBUX
2024-07-31,77.94999694824219,93.9000015258789,96.50007,-0.02694368174710955,True,True,True,SBUX
2024-08-01,75.11000061035156,94.87999725341797,92.42995,0.026507105501966242,True,True,True,SBUX
2024-08-02,75.87999725341797,94.80999755859375,93.90012,0.009689805801695966,True,True,True,SBUX
2024-08-06,75.37000274658203,93.01000213623047,94.01977,-0.010739928943074692,True,True,True,SBUX
2024-08-07,75.29000091552734,92.77999877929688,94.45064,-0.01768795930543172,True,True,True,SBUX
2024-08-08,75.75,92.43000030517578,96.3095,-0.040281605411630186,True,True,True,SBUX
2024-08-09,75.08999633789062,94.0199966430664,93.33985,0.0072867618023872505,True,True,True,SBUX
2024-08-12,77.02999877929688,95.62999725341797,75.11223,0.27316149844948406,False,True,False,SBUX
2024-08-13,95.9000015258789,98.5999984741211,98.56928,0.0003116177940416913,True,True,True,SBUX
2024-08-14,93.9000015258789,95.30000305175781,99.27992,-0.04008785798740903,True,True,True,SBUX
2024-08-15,94.87999725341797,94.86000061035156,75.75008,0.2522759745119056,False,False,True,SBUX
2024-08-16,94.80999755859375,94.56999969482422,94.80967,-0.002527904601737538,False,False,True,SBUX
2024-08-19,92.30000305175781,93.18000030517578,96.11996,-0.030586329392033342,True,True,True,SBUX
2024-08-20,93.01000213623047,92.33000183105469,75.88061,0.2167799487282249,False,False,True,SBUX
2024-08-21,92.77999877929688,91.55999755859375,97.35876,-0.05956073842761782,True,False,False,SBUX
2024-08-26,95.62999725341797,93.33999633789062,94.57013,-0.013007627931952058,False,False,True,SBUX
2024-08-27,98.5999984741211,98.19999694824219,73.861305,0.3295188412036629,False,False,True,SBUX
2024-08-28,95.30000305175781,99.27999877929688,96.899445,0.024567263615752198,True,True,True,SBUX
2024-08-29,94.86000061035156,98.56999969482422,92.33134,0.06756820516320661,False,True,False,SBUX
2024-08-30,94.56999969482422,96.30999755859375,95.47916,0.008701805660632457,True,True,True,SBUX
2024-09-03,93.18000030517578,96.44000244140625,94.87947,0.016447516018360184,True,True,True,SBUX
2024-09-04,92.33000183105469,96.12000274658203,93.18064,0.03154476654401696,True,True,True,SBUX
2024-09-05,91.55999755859375,96.9000015258789,98.599106,-0.01723245149835394,True,True,True,SBUX
2024-09-09,92.20999908447266,95.4800033569336,96.58046,-0.011394191355174037,True,True,True,SBUX
2024-09-10,93.33999633789062,94.44999694824219,94.85963,-0.004318273597791633,True,True,True,SBUX
2024-09-11,98.19999694824219,95.62000274658203,77.03029,0.24132992832971856,False,False,True,SBUX
2024-09-13,98.56999969482422,97.36000061035156,97.42965,-0.0007148618838133704,False,False,True,SBUX
2024-09-17,96.44000244140625,97.43000030517578,92.7807,0.050110632785985834,False,True,False,SBUX
2024-09-18,96.12000274658203,96.5,98.199554,-0.01730715025127393,True,True,True,SBUX
2024-09-20,96.05000305175781,96.58000183105469,95.620316,0.010036426608291326,False,True,False,SBUX
