,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher
33,ADP,36,29,0.8055555555555556,26,26,1.0,0.0024511080623104827,285.1600036621094,2024-10-04,269.4176947021484,270.078066585762,False
1,GOOG,36,29,0.8055555555555556,12,12,1.0,-0.0018232691873479997,168.55999755859375,2024-10-04,164.87019927978517,164.5695965255264,False
22,XLU,36,26,0.7222222222222222,26,26,1.0,0.00013806978889768296,81.30999755859375,2024-10-04,76.32149955749512,76.33203725082738,False
24,XLP,36,29,0.8055555555555556,20,21,0.9523809523809523,0.003226395395944596,81.47000122070312,2024-10-04,82.71970039367676,82.98658685418084,True
39,CTBI,36,33,0.9166666666666666,16,17,0.9411764705882353,0.0026782646939242163,48.38999938964844,2024-10-04,48.6725996017456,48.80295770682047,True
21,XLRE,36,28,0.7777777777777778,22,24,0.9166666666666666,0.0010023162464338415,43.52000045776367,2024-10-04,44.56649887084961,44.611168596714535,True
13,KO,36,32,0.8888888888888888,21,23,0.9130434782608695,-0.00015540871778589585,70.16999816894531,2024-10-04,70.39249931335449,70.38155970529446,True
8,MA,36,23,0.6388888888888888,21,23,0.9130434782608695,0.002406553001473124,497.70001220703125,2024-10-04,488.8825045776367,490.05902623639577,False
25,XLV,36,27,0.75,16,18,0.8888888888888888,0.000599059913985092,151.63999938964844,2024-10-04,152.93319778442384,153.02481393273405,True
4,SBUX,36,29,0.8055555555555556,22,25,0.88,0.0030308955148043264,96.58000183105469,2024-10-04,90.06665802001953,90.33964064984583,False
43,SUN,36,31,0.8611111111111112,13,15,0.8666666666666667,0.0017440127380580026,53.41999816894531,2024-10-04,53.50470994111257,53.59802283679597,True
42,QSR,36,31,0.8611111111111112,19,22,0.8636363636363636,-0.0002020941894352316,71.76000213623047,2024-10-04,69.23160041809082,69.21760911392101,False
37,CPB,36,28,0.7777777777777778,19,22,0.8636363636363636,0.00013003081718391095,47.349998474121094,2024-10-04,49.90889991760254,49.91538961264357,True
48,SYY,36,26,0.7222222222222222,18,21,0.8571428571428571,0.0015035468809889848,75.41000366210938,2024-10-04,76.62279614930497,76.73800211546792,True
16,BFIN,36,31,0.8611111111111112,17,20,0.85,0.001389923068790248,11.9399995803833,2024-10-04,11.858360670593772,11.874842879647865,False
12,AMZN,36,28,0.7777777777777778,17,20,0.85,1.6822925726838822e-06,186.50999450683594,2024-10-04,180.68223503447234,180.68253899485433,False
28,NVDA,36,29,0.8055555555555556,17,20,0.85,0.009543811730122214,124.91999816894531,2024-10-04,116.3997998046875,117.51069757944737,False
35,AXS,36,26,0.7222222222222222,22,26,0.8461538461538461,0.001257277651503466,82.16999816894531,2024-10-04,77.06959953308106,77.16649741818432,False
47,NSC,36,29,0.8055555555555556,16,19,0.8421052631578947,-0.0006433662769050002,247.9199981689453,2024-10-04,246.6120997619629,246.4534378534993,False
3,PAYX,36,25,0.6944444444444444,21,25,0.84,0.003540909026628595,138.64999389648438,2024-10-04,136.24460331689755,136.72703306261178,False
26,XLE,36,26,0.7222222222222222,10,12,0.8333333333333334,-0.003871445673424087,93.18000030517578,2024-10-04,87.79450042724609,87.45460878841659,False
41,PRU,36,27,0.75,14,17,0.8235294117647058,-0.0018285217895681418,122.98999786376953,2024-10-04,119.1212158203125,118.9034000815852,False
10,HPE,36,28,0.7777777777777778,13,16,0.8125,0.003988371904584562,20.6200008392334,2024-10-04,18.157700119018553,18.23011978002512,False
2,DRI,36,24,0.6666666666666666,21,26,0.8076923076923077,0.001467384096001052,164.83999633789062,2024-10-04,153.74024963378906,153.96584563101692,False
9,PG,36,30,0.8333333333333334,20,25,0.8,0.001588650551162439,168.8800048828125,2024-10-04,180.06953696409727,180.35560453324285,True
31,AFG,36,22,0.6111111111111112,18,23,0.782608695652174,0.0004946843347652159,138.64999389648438,2024-10-04,136.43059616088868,136.49808623959217,False
38,CNI,36,26,0.7222222222222222,13,17,0.7647058823529411,0.004269269882708055,113.54000091552734,2024-10-04,115.93578675412309,116.43074791684053,True
17,XLK,36,27,0.75,16,21,0.7619047619047619,0.005124405477103062,225.2899932861328,2024-10-04,216.78940063476563,217.90031742675632,False
34,AVNT,36,25,0.6944444444444444,19,25,0.76,0.0007104588493214454,49.13999938964844,2024-10-04,50.67112002370451,50.707119769330376,True
27,XLC,36,23,0.6388888888888888,20,27,0.7407407407407407,0.003711909535055517,90.87999725341797,2024-10-04,84.72216033935547,85.03664133414962,False
46,WSO,36,26,0.7222222222222222,14,19,0.7368421052631579,-0.002767489332163015,480.69000244140625,2024-10-04,478.68519989013674,477.3604437059765,False
15,JCI,36,22,0.6111111111111112,19,27,0.7037037037037037,0.004286475062060582,75.68000030517578,2024-10-04,74.6734994506836,74.99358554387574,False
44,TRN,36,26,0.7222222222222222,16,23,0.6956521739130435,0.0029749561972154752,33.9900016784668,2024-10-04,32.92580017089844,33.023752984165135,False
7,CMI,36,22,0.6111111111111112,18,26,0.6923076923076923,0.004340584359420587,331.739990234375,2024-10-04,316.1202087402344,317.49235517398904,False
45,UNP,36,26,0.7222222222222222,11,16,0.6875,7.493936168539512e-05,238.86000061035156,2024-10-04,246.7035011291504,246.72198893205058,True
5,VAC,36,25,0.6944444444444444,13,19,0.6842105263157895,-0.0007425474042073989,76.37999725341797,2024-10-04,72.86640083312989,72.81229407633731,False
