Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-02,229.0800018310547,224.36000061035156,223.03577756955528,0.005937267353365831,False,False,True,XLK
2024-07-03,232.1699981689453,224.3800048828125,212.09914831166935,0.057901489321857284,False,False,True,XLK
2024-07-05,232.8800048828125,220.8699951171875,212.0336187763525,0.04167441178351706,False,False,True,XLK
2024-07-08,234.47000122070312,226.10000610351562,211.69643320457368,0.06803880764973964,False,False,True,XLK
2024-07-10,237.67999267578125,215.8800048828125,209.91891318790886,0.02839711584047491,False,False,True,XLK
2024-07-12,233.8000030517578,216.27999877929688,215.53413998206176,0.003460513481981049,False,False,True,XLK
2024-07-15,234.22000122070312,215.32000732421875,215.23800893692166,0.0003809661114321196,False,False,True,XLK
2024-07-16,233.44000244140625,209.91000366210938,210.795955994397,-0.004202890554082378,False,False,True,XLK
2024-07-17,224.36000061035156,218.8000030517578,214.08957319468553,0.022002145115160677,False,False,True,XLK
2024-07-18,224.3800048828125,210.63999938964844,216.99354943805292,-0.029279902858210496,False,False,True,XLK
2024-07-19,220.8699951171875,204.72000122070312,215.8625999756984,-0.05161894073475303,False,False,True,XLK
2024-07-23,225.1999969482422,200.58999633789062,216.27214690298274,-0.07251118921072602,False,False,True,XLK
2024-07-24,215.8800048828125,197.33999633789062,215.0788508160556,-0.08247605197284588,False,False,True,XLK
2024-07-25,213.57000732421875,204.7100067138672,213.5472783749757,-0.04138320904090759,False,False,True,XLK
2024-07-29,215.32000732421875,207.30999755859375,220.74659322718688,-0.06086886992074446,True,False,False,XLK
2024-07-30,209.91000366210938,213.67999267578125,216.42088962176717,-0.012664659824548886,True,True,True,XLK
2024-07-31,218.8000030517578,214.85000610351562,213.870113459428,0.00458171844694655,False,False,True,XLK
2024-08-01,210.63999938964844,221.02999877929688,216.51862548196362,0.020835959434395427,True,True,True,XLK
2024-08-02,204.72000122070312,221.39999389648438,215.17508061355488,0.028929526900511156,True,True,True,XLK
2024-08-05,197.89999389648438,225.0500030517578,217.14700644183029,0.03639468367271549,True,True,True,XLK
2024-08-06,200.58999633789062,224.25999450683594,222.2064482713091,0.009241614055319806,True,True,True,XLK
2024-08-09,205.6300048828125,223.9600067138672,221.78835121175058,0.009791567006344879,True,True,True,XLK
2024-08-12,207.30999755859375,221.14999389648438,218.09690453131861,0.01399877440593082,True,True,True,XLK
2024-08-14,214.85000610351562,219.4199981689453,218.6181689692586,0.003667715283991207,True,True,True,XLK
2024-08-15,221.02999877929688,217.44000244140625,213.83487368113273,0.01685940510175823,False,False,True,XLK
2024-08-16,221.39999389648438,220.3300018310547,208.81629610133456,0.055137965497351546,False,False,True,XLK
2024-08-19,225.0500030517578,210.2100067138672,210.30681638099787,-0.0004603258648321798,False,False,True,XLK
2024-08-20,224.25999450683594,209.6699981689453,202.918435056911,0.033272300321756175,False,False,True,XLK
2024-08-22,220.38999938964844,203.9199981689453,224.9194193742088,-0.09336419800340037,True,False,False,XLK
