Date,Close,Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-08-26,482.0199890136719,455.1499938964844,500.6797,-0.09093577139279417,True,False,False,WSO
2024-08-27,472.010009765625,461.5899963378906,487.33124,-0.05282083203132094,True,False,False,WSO
2024-08-28,472.510009765625,470.9700012207031,479.91025,-0.0186289970321828,True,False,False,WSO
2024-08-29,466.67999267578125,476.7099914550781,489.60944,-0.026346397006841764,True,True,True,WSO
2024-08-30,475.4200134277344,487.3299865722656,476.71036,0.022276899873214285,True,True,True,WSO
2024-09-03,456.239990234375,491.760009765625,486.54004,0.010728758753715751,True,True,True,WSO
2024-09-04,453.7099914550781,486.5400085449219,487.9007,-0.0027888610685953366,True,True,True,WSO
2024-09-05,449.54998779296875,500.25,516.83,-0.032080213109916066,True,True,True,WSO
2024-09-06,448.6600036621094,489.6099853515625,543.05865,-0.09842154058798493,True,True,True,WSO
2024-09-09,455.5799865722656,496.760009765625,495.70013,0.0021381383925311802,True,True,True,WSO
2024-09-10,455.1499938964844,494.6400146484375,496.76025,-0.004268133855597549,True,True,True,WSO
2024-09-11,461.5899963378906,498.0199890136719,492.04968,0.012133543842013301,True,True,True,WSO
2024-09-12,470.9700012207031,500.67999267578125,497.08975,0.0072225196006271124,True,True,True,WSO
2024-09-16,487.3299865722656,491.8800048828125,475.9,0.033578506390575885,False,True,False,WSO
2024-09-17,491.760009765625,495.70001220703125,484.76974,0.022547338091090708,False,True,False,WSO
2024-09-18,486.5400085449219,492.04998779296875,455.15082,0.08107020458507767,False,True,False,WSO
2024-09-20,489.6099853515625,480.69000244140625,528.4986,-0.09046115561049696,True,False,False,WSO
2024-09-24,494.6400146484375,495.3699951171875,478.26004,0.035775422140333246,False,True,False,WSO
2024-09-25,498.0199890136719,500.3599853515625,491.7599,0.0174884082078254,False,True,False,WSO
2024-09-26,500.67999267578125,484.2900085449219,492.22046,-0.016111582309716363,False,False,True,WSO
2024-09-27,495.9800109863281,491.5799865722656,498.01968,-0.012930607914929669,True,False,False,WSO
2024-09-30,491.8800048828125,497.0899963378906,474.4201,0.04778442380378286,False,True,False,WSO
2024-10-04,480.69000244140625,502.7300109863281,461.59164,0.08912285828473694,False,True,False,WSO
2024-10-07,486.7099914550781,492.2200012207031,500.35944,-0.016267175610696853,True,True,True,WSO
2024-10-08,495.3699951171875,484.7699890136719,470.97043,0.029300269640703907,False,False,True,WSO
2024-10-10,484.2900085449219,478.260009765625,473.01086,0.01109730432100916,False,False,True,WSO
2024-10-11,491.5799865722656,475.8999938964844,473.46976,0.0051328237549821435,False,False,True,WSO
2024-10-14,497.0899963378906,479.9100036621094,491.58026,-0.023740289203532484,False,False,True,WSO
2024-10-15,493.0,473.4700012207031,478.01022,-0.009498169590981903,False,False,True,WSO
2024-10-16,494.6099853515625,474.4200134277344,494.63965,-0.040877505621793014,True,False,False,WSO
2024-10-17,504.7200012207031,473.010009765625,484.2903,-0.023292441817417044,False,False,True,WSO
2024-10-18,502.7300109863281,474.0,480.6899,-0.013917310800852784,False,False,True,WSO
2024-10-21,492.2200012207031,478.010009765625,520.7392,-0.08205486983916976,True,False,False,WSO
2024-10-22,484.7699890136719,487.8999938964844,495.36783,-0.015075331995705083,True,True,True,WSO
2024-10-23,466.4200134277344,516.8300170898438,500.24997,0.03314352547502649,True,True,True,WSO
2024-10-24,478.260009765625,524.969970703125,524.96967,5.81320791065983e-07,True,True,True,WSO
2024-10-25,475.8999938964844,528.5,491.87982,0.07444944191923547,True,True,True,WSO
2024-10-30,474.4200134277344,543.0599975585938,502.7297,0.08022261521829645,True,True,True,WSO
2024-11-01,474.0,520.739990234375,474.00043,0.09860658409072443,True,True,True,WSO
