Date,Close,Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-30,121.44000244140625,138.07000732421875,139.25508472853127,-0.008510119444634671,True,True,True,NVDA
2024-10-01,117.0,131.60000610351562,135.52798723080434,-0.028982804272001474,True,True,True,NVDA
2024-10-02,118.8499984741211,135.72000122070312,138.37090540922978,-0.019157959404013766,True,True,True,NVDA
2024-10-03,122.8499984741211,136.92999267578125,135.98856843651157,0.006922818955250626,True,True,True,NVDA
2024-10-07,127.72000122070312,143.7100067138672,139.84322764663855,0.027650813931435893,True,True,True,NVDA
2024-10-08,132.88999938964844,143.58999633789062,137.55278027316015,0.04389017839364224,True,True,True,NVDA
2024-10-09,132.64999389648438,139.55999755859375,139.66806738079077,-0.0007737618499608961,True,True,True,NVDA
2024-10-11,134.8000030517578,141.5399932861328,143.30320747287223,-0.012304080402898173,True,True,True,NVDA
2024-10-14,138.07000732421875,140.52000427246094,135.96400606794913,0.03350885529391442,False,True,False,NVDA
2024-10-16,135.72000122070312,139.33999633789062,136.86234892312464,0.01810320686632138,True,True,True,NVDA
2024-10-17,136.92999267578125,132.75999450683594,132.28358736620856,0.00360140777939826,False,False,True,NVDA
2024-10-18,138.0,135.39999389648438,148.6432089468139,-0.0890939797664627,True,False,False,NVDA
2024-10-22,143.58999633789062,139.91000366210938,140.11673229865005,-0.0014754029240422568,False,False,True,NVDA
2024-10-23,139.55999755859375,145.61000061035156,140.0544436878132,0.039667123557478194,True,True,True,NVDA
2024-10-24,140.41000366210938,148.8800048828125,137.04143226185994,0.08638681328382,False,True,False,NVDA
2024-10-25,141.5399932861328,147.6300048828125,135.19556201411731,0.09197375034689943,False,True,False,NVDA
2024-10-28,140.52000427246094,145.25999450683594,149.15085815851145,-0.026086766779045048,True,True,True,NVDA
2024-10-29,141.25,148.2899932861328,135.82032592588496,0.09181002383290081,False,True,False,NVDA
2024-10-30,139.33999633789062,146.27000427246094,138.98767173725972,0.05239552864060948,False,True,False,NVDA
2024-10-31,132.75999450683594,146.75999450683594,146.78254716117561,-0.00015364670238971048,True,True,True,NVDA
2024-11-04,136.0500030517578,140.14999389648438,140.32745496759037,-0.0012646211758560067,True,True,True,NVDA
2024-11-05,139.91000366210938,147.00999450683594,146.75196048318384,0.0017583003511674987,True,True,True,NVDA
2024-11-06,145.61000061035156,145.88999938964844,134.616111006916,0.08374843321802135,False,True,False,NVDA
2024-11-07,148.8800048828125,146.6699981689453,140.40062156587797,0.04465348182326716,False,False,True,NVDA
2024-11-11,145.25999450683594,136.02000427246094,137.16497687416998,-0.008347412202456009,False,False,True,NVDA
2024-11-12,148.2899932861328,136.9199981689453,134.49738185676046,0.018012367815196138,False,False,True,NVDA
2024-11-13,146.27000427246094,135.33999633789062,137.50435820718207,-0.015740314689010288,False,False,True,NVDA
2024-11-14,146.75999450683594,138.25,144.8141272041438,-0.04532794783819939,False,False,True,NVDA
2024-11-15,141.97999572753906,138.6300048828125,146.4663627145896,-0.05350278170727393,True,False,False,NVDA
2024-11-18,140.14999389648438,140.25999450683594,130.76523817612133,0.07260917704999385,False,True,False,NVDA
2024-11-19,147.00999450683594,145.13999938964844,137.99127453404577,0.05180562959318782,False,False,True,NVDA
2024-11-20,145.88999938964844,145.05999755859375,145.18288788799418,-0.0008464518869141212,False,False,True,NVDA
2024-11-21,146.6699981689453,142.44000244140625,131.6226037471209,0.08218496205308477,False,False,True,NVDA
2024-11-22,141.9499969482422,138.80999755859375,134.84109014771855,0.02943396116515568,False,False,True,NVDA
2024-11-25,136.02000427246094,135.07000732421875,142.3436437552006,-0.0510991305202983,True,False,False,NVDA
2024-11-26,136.9199981689453,139.30999755859375,138.7080860869501,0.004339411555764299,True,True,True,NVDA
2024-11-27,135.33999633789062,137.33999633789062,146.19504345023648,-0.06057009118342674,True,True,True,NVDA
2024-11-29,138.25,134.25,140.34913059115124,-0.0434568462623293,True,False,False,NVDA
2024-12-02,138.6300048828125,132.0,141.35225552226538,-0.06616276116508266,True,False,False,NVDA
2024-12-03,140.25999450683594,130.38999938964844,148.1149451703255,-0.11967020451781005,True,False,False,NVDA
2024-12-06,142.44000244140625,134.6999969482422,144.9550937494474,-0.07074671566168614,True,False,False,NVDA
2024-12-10,135.07000732421875,140.22000122070312,136.28308245334773,0.028887802480568894,True,True,True,NVDA
2024-12-11,139.30999755859375,139.92999267578125,147.29079279171634,-0.04997461128710188,True,True,True,NVDA
2024-12-12,137.33999633789062,137.00999450683594,143.6299168430061,-0.04609013554889148,True,False,False,NVDA
2024-12-13,134.25,137.49000549316406,139.39191005335437,-0.013644296569738663,True,True,True,NVDA
2024-12-16,132.0,134.2899932861328,132.8548067835603,0.010802668998726157,True,True,True,NVDA
2024-12-19,130.67999267578125,149.42999267578125,145.84719660378704,0.024565409246276728,True,True,True,NVDA
2024-12-23,139.6699981689453,140.11000061035156,139.91876672860386,0.0013667493376255731,True,True,True,NVDA
2024-12-24,140.22000122070312,135.91000366210938,144.79628052900696,-0.06137089181042468,True,False,False,NVDA
