Date,Close,Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-30,391.1199951171875,393.95001220703125,379.24008,0.03878791068339516,False,True,False,CAT
2024-10-01,392.3900146484375,387.989990234375,403.6993,-0.038913418149213445,True,False,False,CAT
2024-10-02,394.04998779296875,393.6199951171875,406.1098,-0.030754754157196376,True,False,False,CAT
2024-10-03,391.0899963378906,394.489990234375,393.61963,0.0022111735904621196,True,True,True,CAT
2024-10-07,398.25,390.4800109863281,383.3706,0.01854447215348032,False,False,True,CAT
2024-10-08,387.9599914550781,388.4599914550781,363.0106,0.07010649987797528,False,True,False,CAT
2024-10-09,396.19000244140625,385.7300109863281,385.73026,-6.329309712033022e-07,False,False,True,CAT
2024-10-11,402.0199890136719,385.9700012207031,390.47977,-0.011549293991414465,False,False,True,CAT
2024-10-14,393.95001220703125,390.6099853515625,405.64923,-0.037074507869735845,True,False,False,CAT
2024-10-16,393.6199951171875,379.239990234375,394.49048,-0.03865869802139206,True,False,False,CAT
2024-10-17,394.489990234375,376.20001220703125,378.91992,-0.0071780592968294955,False,False,True,CAT
2024-10-18,393.8599853515625,379.6300048828125,408.2098,-0.07001253493233028,True,False,False,CAT
2024-10-22,388.4599914550781,383.3699951171875,367.12024,0.044262762228054406,False,False,True,CAT
2024-10-23,385.7300109863281,416.8800048828125,399.2594,0.044133226405212535,True,True,True,CAT
2024-10-24,387.05999755859375,408.2099914550781,364.8603,0.11881178098356422,False,True,False,CAT
2024-10-25,385.9700012207031,393.3699951171875,388.38974,0.01282282875721266,True,True,True,CAT
2024-10-28,390.6099853515625,396.5400085449219,364.2009,0.08879470527189444,False,True,False,CAT
2024-10-29,387.510009765625,393.010009765625,379.63016,0.035244439967745254,False,True,False,CAT
2024-10-30,379.239990234375,387.07000732421875,399.2595,-0.03053022888212775,True,True,True,CAT
2024-10-31,376.20001220703125,387.3599853515625,382.3302,0.013155605164542445,True,True,True,CAT
2024-11-04,376.5199890136719,384.4599914550781,384.4601,-3.1751099322280724e-07,True,True,True,CAT
2024-11-05,383.3699951171875,382.3299865722656,387.35965,-0.012984478611480452,True,False,False,CAT
2024-11-06,416.8800048828125,381.5,380.5097,0.0026025496806282565,False,False,True,CAT
2024-11-07,408.2099914550781,389.5899963378906,390.61035,-0.002612207332774979,False,False,True,CAT
2024-11-11,396.5400085449219,405.6499938964844,407.83005,-0.005345495565437161,True,True,True,CAT
2024-11-12,393.010009765625,407.8299865722656,362.76074,0.12423958588515265,False,True,False,CAT
2024-11-13,387.07000732421875,403.70001220703125,380.77975,0.06019295219649685,False,True,False,CAT
2024-11-14,387.3599853515625,406.1099853515625,399.51065,0.016518545140940474,True,True,True,CAT
2024-11-15,384.07000732421875,402.510009765625,389.58997,0.03316318457563024,True,True,True,CAT
2024-11-18,384.4599914550781,399.260009765625,375.80032,0.06242593423459455,False,True,False,CAT
2024-11-19,382.3299865722656,399.510009765625,393.9502,0.01411298818804923,True,True,True,CAT
2024-11-20,381.5,394.9800109863281,396.54,-0.003934023112366545,True,True,True,CAT
2024-11-21,389.5899963378906,395.0299987792969,387.98984,0.018145220440611433,False,True,False,CAT
2024-11-22,397.489990234375,399.260009765625,366.04022,0.09075447337700591,False,True,False,CAT
2024-11-25,405.6499938964844,388.3900146484375,395.02963,-0.016807898376517104,False,False,True,CAT
2024-11-26,407.8299865722656,388.8699951171875,402.51028,-0.03388805164609885,False,False,True,CAT
2024-11-27,403.70001220703125,380.7799987792969,387.06915,-0.016248140691964556,False,False,True,CAT
2024-11-29,406.1099853515625,380.510009765625,361.07056,0.053838378032989735,False,False,True,CAT
2024-12-02,402.510009765625,378.9200134277344,385.9704,-0.018266645729686188,False,False,True,CAT
2024-12-03,399.260009765625,375.79998779296875,393.0099,-0.04378999216346947,False,False,True,CAT
2024-12-06,395.0299987792969,366.0400085449219,416.87845,-0.1219502714184409,True,False,False,CAT
2024-12-10,388.3900146484375,367.57000732421875,351.00195,0.04720217096147747,False,False,True,CAT
2024-12-11,388.8699951171875,367.1199951171875,393.36942,-0.06672969261506405,True,False,False,CAT
2024-12-12,380.7799987792969,364.8599853515625,388.45993,-0.0607525853254621,True,False,False,CAT
2024-12-13,380.510009765625,363.010009765625,388.87088,-0.06650246054136383,True,False,False,CAT
2024-12-16,378.9200134277344,362.760009765625,376.1999,-0.03572537027113278,False,False,True,CAT
2024-12-19,360.3699951171875,364.20001220703125,381.4995,-0.04534605937968363,True,True,True,CAT
2024-12-23,365.3900146484375,361.07000732421875,367.57114,-0.017686723752967207,True,False,False,CAT
2024-12-24,367.57000732421875,351.0,394.9794,-0.1113460615011491,True,False,False,CAT
