Date,Close,Close_10d_ahead,LinearRegression_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker,RandomForest_Predicted_Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead
2024-09-30,233.0,231.3000030517578,238.41476562521174,-0.029841954439341834,True,False,False,AAPL,,,
2024-10-01,226.2100067138672,233.85000610351562,234.0500217841968,-0.0008545851829297582,True,True,True,AAPL,,,
2024-10-02,226.77999877929688,231.77999877929688,239.9586617504256,-0.03408363303690666,True,True,True,AAPL,,,
2024-10-03,225.6699981689453,232.14999389648438,237.18609099131177,-0.02123268305396488,True,True,True,AAPL,,,
2024-10-07,221.69000244140625,236.47999572753906,235.35325426076167,0.004787448001585762,True,True,True,AAPL,,,
2024-10-08,225.77000427246094,235.86000061035156,244.89612466992537,-0.03689778297534447,True,True,True,AAPL,,,
2024-10-09,229.5399932861328,230.75999450683594,236.89293965990785,-0.02588910062864936,True,True,True,AAPL,,,
2024-10-11,227.5500030517578,231.41000366210938,234.69423340353018,-0.013993653332648955,True,True,True,AAPL,,,
2024-10-14,231.3000030517578,233.39999389648438,236.05090540420125,-0.01123025350475817,True,True,True,AAPL,,,
2024-10-16,231.77999877929688,230.10000610351562,233.96581793827343,-0.016522977026403547,True,False,False,AAPL,,,
2024-10-17,232.14999389648438,225.91000366210938,236.62967973723943,-0.04530148579431582,True,False,False,AAPL,,,
2024-10-18,235.0,222.91000366210938,236.34754031040725,-0.05685498833899299,True,False,False,AAPL,,,
2024-10-22,235.86000061035156,223.4499969482422,235.81069331358879,-0.05241787889961775,False,False,True,AAPL,,,
2024-10-23,230.75999450683594,222.72000122070312,236.78348223727036,-0.059393843200915675,True,False,False,AAPL,,,
2024-10-24,230.57000732421875,227.47999572753906,239.22538204926911,-0.049097575771918124,True,False,False,AAPL,,,
2024-10-25,231.41000366210938,226.9600067138672,236.06897357749267,-0.03858604002713363,True,False,False,AAPL,,,
2024-10-28,233.39999389648438,224.22999572753906,238.64567482142797,-0.06040620306517505,True,False,False,AAPL,,,
2024-10-29,233.6699981689453,224.22999572753906,239.7644758809458,-0.06479058290987334,True,False,False,AAPL,,,
2024-10-30,230.10000610351562,225.1199951171875,237.60997158726232,-0.0525650349883901,True,False,False,AAPL,,,
2024-10-31,225.91000366210938,228.22000122070312,235.15946133879422,-0.029509593526808653,True,True,True,AAPL,,,
2024-11-04,222.00999450683594,228.02000427246094,241.47542720569876,-0.05572170671335407,True,True,True,AAPL,,,
2024-11-05,223.4499969482422,228.27999877929688,243.2106691957171,-0.06138986610166007,True,True,True,AAPL,,,
2024-11-06,222.72000122070312,229.0,239.0273829049744,-0.041950770589998826,True,True,True,AAPL,,,
2024-11-07,227.47999572753906,228.52000427246094,240.66087668879373,-0.050448051978272096,True,True,True,AAPL,,,
2024-11-11,224.22999572753906,232.8699951171875,237.6976897540448,-0.020310229526642472,True,True,True,AAPL,,,
2024-11-12,224.22999572753906,235.05999755859375,236.47654513789163,-0.00599022443630459,True,True,True,AAPL,,,
2024-11-13,225.1199951171875,234.92999267578125,237.2163913616138,-0.009638451511334032,True,True,True,AAPL,,,
2024-11-14,228.22000122070312,237.3300018310547,236.3766013542033,0.004033396162688468,True,True,True,AAPL,,,
2024-11-15,225.0,239.58999633789062,237.84787418480357,0.007324522697787304,True,True,True,AAPL,,,
2024-11-18,228.02000427246094,242.64999389648438,237.27864101190352,0.022637321512269597,True,True,True,AAPL,,,
2024-11-19,228.27999877929688,243.00999450683594,233.4399006161561,0.04099596455198925,True,True,True,AAPL,,,
2024-11-20,229.0,243.0399932861328,237.8991635580443,0.021609280382502098,True,True,True,AAPL,,,
2024-11-21,228.52000427246094,242.83999633789062,238.41356044933866,0.018566208567203344,True,True,True,AAPL,,,
2024-11-22,229.8699951171875,246.75,238.51259427747502,0.0345365650291068,True,True,True,AAPL,,,
2024-11-25,232.8699951171875,247.77000427246094,238.95742454251726,0.03687928821134274,True,True,True,AAPL,,,
2024-11-26,235.05999755859375,246.49000549316406,237.28368924577507,0.0387987740609226,True,True,True,AAPL,,,
2024-11-27,234.92999267578125,247.9600067138672,235.7259004815759,0.05189971151790122,True,True,True,AAPL,,,
2024-11-29,237.3300018310547,248.1300048828125,237.6596581801332,0.044056053866505816,True,True,True,AAPL,,,
2024-12-02,239.58999633789062,251.0399932861328,234.40208493269822,0.07098020633311214,False,True,False,AAPL,,,
2024-12-03,242.64999389648438,253.47999572753906,236.25859023850555,0.07289218763071567,False,True,False,AAPL,,,
2024-12-06,242.83999633789062,254.49000549316406,234.12187959159846,0.08699795993905271,False,True,False,AAPL,,,
2024-12-10,247.77000427246094,258.20001220703125,238.26391819510405,0.08367231666022712,False,True,False,AAPL,,,
2024-12-11,246.49000549316406,259.0199890136719,233.97974774392338,0.10701884035345449,False,True,False,AAPL,,,
2024-12-12,247.9600067138672,255.58999633789062,239.30748610336508,0.06804012068177664,False,True,False,AAPL,,,
2024-12-13,248.1300048828125,252.1999969482422,238.27474905382468,0.05844197905868695,False,True,False,AAPL,,,
2024-12-16,251.0399932861328,250.4199981689453,238.53931363703592,0.04980598103835906,False,False,True,AAPL,,,
2024-12-19,249.7899932861328,245.0,237.64042531577925,0.030969371791189405,False,False,True,AAPL,,,
2024-12-23,255.27000427246094,242.6999969482422,239.34429229218586,0.014020408107162076,False,False,True,AAPL,,,
2024-12-24,258.20001220703125,236.85000610351562,240.74934493805748,-0.016196674742957717,False,False,True,AAPL,,,
2024-09-30,167.19000244140625,166.35000610351562,177.83056556138777,-0.06455897737056353,True,False,False,GOOG,,,
2024-10-01,168.4199981689453,166.89999389648438,178.88996485631733,-0.06702427925156779,True,False,False,GOOG,,,
2024-10-02,167.30999755859375,166.74000549316406,170.6001719492448,-0.022626978695128072,True,False,False,GOOG,,,
2024-10-03,167.2100067138672,164.50999450683594,180.14516446173073,-0.08679206017886903,True,False,False,GOOG,,,
2024-10-07,164.38999938964844,165.8000030517578,169.18806395196592,-0.02002541326538263,True,True,True,GOOG,,,
2024-10-08,165.6999969482422,166.82000732421875,186.10504523331556,-0.10362447662243444,True,True,True,GOOG,,,
2024-10-09,163.05999755859375,164.47999572753906,172.57452894538565,-0.04690456504394256,True,True,True,GOOG,,,
2024-10-11,164.52000427246094,166.99000549316406,177.86335810366145,-0.06113317957350292,True,True,True,GOOG,,,
2024-10-14,166.35000610351562,168.33999633789062,175.36915672283763,-0.04008207894878715,True,True,True,GOOG,,,
2024-10-16,166.74000549316406,176.13999938964844,181.6360143903767,-0.030258399024964706,True,True,True,GOOG,,,
2024-10-17,164.50999450683594,172.69000244140625,175.80759164640452,-0.017732961220858785,True,True,True,GOOG,,,
2024-10-18,165.0500030517578,172.64999389648438,181.630089071208,-0.04944167136978602,True,True,True,GOOG,,,
2024-10-22,166.82000732421875,171.41000366210938,175.8843086360038,-0.025438909295507912,True,True,True,GOOG,,,
2024-10-23,164.47999572753906,178.3300018310547,173.79815435865376,0.026075348665952486,True,True,True,GOOG,,,
2024-10-24,164.52999877929688,182.27999877929688,186.2801888255971,-0.021474049771580142,True,True,True,GOOG,,,
2024-10-25,166.99000549316406,179.86000061035156,181.34955643028846,-0.008213727396181904,True,True,True,GOOG,,,
2024-10-28,168.33999633789062,181.97000122070312,186.11108023786645,-0.022250577514625433,True,True,True,GOOG,,,
2024-10-29,171.13999938964844,183.32000732421875,181.32286004867515,0.011014315983144504,True,True,True,GOOG,,,
2024-10-30,176.13999938964844,180.49000549316406,182.3189812095848,-0.010031735062835995,True,True,True,GOOG,,,
2024-10-31,172.69000244140625,177.35000610351562,167.84484322481276,0.05663065183344101,False,True,False,GOOG,,,
2024-11-04,170.67999267578125,176.8000030517578,184.17202080866028,-0.04002789199213594,True,True,True,GOOG,,,
2024-11-05,171.41000366210938,179.5800018310547,184.38511785131814,-0.0260602161186248,True,True,True,GOOG,,,
2024-11-06,178.3300018310547,177.3300018310547,184.4306573444815,-0.03850040777203393,True,False,False,GOOG,,,
2024-11-07,182.27999877929688,169.24000549316406,178.2475674110523,-0.05053399633284265,False,False,True,GOOG,,,
2024-11-11,181.97000122070312,169.42999267578125,178.28512137914086,-0.0496683550195325,False,False,True,GOOG,,,
2024-11-12,183.32000732421875,170.6199951171875,177.52616004364123,-0.03890223798428347,False,False,True,GOOG,,,
2024-11-13,180.49000549316406,170.82000732421875,178.25698404706228,-0.04172053489292774,False,False,True,GOOG,,,
2024-11-14,177.35000610351562,170.49000549316406,179.1422394006744,-0.04829812296896952,True,False,False,GOOG,,,
2024-11-15,173.88999938964844,172.97999572753906,183.05687354302577,-0.055047798099306204,True,False,False,GOOG,,,
2024-11-18,176.8000030517578,173.02000427246094,184.29236090893417,-0.06116562065230328,True,False,False,GOOG,,,
2024-11-19,179.5800018310547,176.08999633789062,172.21847132531437,0.022480312261412935,False,False,True,GOOG,,,
2024-11-20,177.3300018310547,174.30999755859375,179.02984657757136,-0.02636347575113718,True,False,False,GOOG,,,
2024-11-21,169.24000549316406,176.49000549316406,171.43427969402583,0.029490751838906655,True,True,True,GOOG,,,
2024-11-22,166.57000732421875,177.10000610351562,187.35415687148023,-0.054731375802879394,True,True,True,GOOG,,,
2024-11-25,169.42999267578125,186.52999877929688,184.10255352476705,0.01318528835181674,True,True,True,GOOG,,,
2024-11-26,170.6199951171875,196.7100067138672,176.13104591321,0.11683891782938512,True,True,True,GOOG,,,
2024-11-27,170.82000732421875,193.6300048828125,180.1612262321418,0.07475958580186333,True,True,True,GOOG,,,
