Date,Close,Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-09-30,134.60000610351562,137.22000122070312,130.77895015828423,0.04925143575952527,False,True,False,AFG
2024-10-01,135.33999633789062,134.9499969482422,147.8614228582221,-0.08732112582441555,True,False,False,AFG
2024-10-02,134.83999633789062,134.94000244140625,146.51400960483053,-0.07899590759027791,True,True,True,AFG
2024-10-03,134.5800018310547,137.92999267578125,134.6992787931294,0.02398464128092009,True,True,True,AFG
2024-10-07,135.07000732421875,133.67999267578125,127.72546574344751,0.046619731606961944,False,False,True,AFG
2024-10-08,135.72000122070312,132.19000244140625,136.0940753720473,-0.028686575223559885,True,False,False,AFG
2024-10-09,137.22999572753906,132.02000427246094,132.5807223633115,-0.0042292580765553,False,False,True,AFG
2024-10-11,135.94000244140625,129.41000366210938,133.74968181151235,-0.03244626896024091,False,False,True,AFG
2024-10-14,137.22000122070312,129.97000122070312,148.81886394652497,-0.12665640783681026,True,False,False,AFG
2024-10-16,134.94000244140625,130.38999938964844,137.9091219408774,-0.054522300232267985,True,False,False,AFG
2024-10-17,137.92999267578125,128.92999267578125,140.06802588800986,-0.0795187419942216,True,False,False,AFG
2024-10-18,136.32000732421875,127.70999908447266,134.1129278924455,-0.04774281576424755,False,False,True,AFG
2024-10-22,132.19000244140625,127.44000244140625,138.38653579803318,-0.07910114443938922,True,False,False,AFG
2024-10-23,132.02000427246094,133.8000030517578,141.82145240553123,-0.05656019747165255,True,True,True,AFG
2024-10-24,132.61000061035156,134.24000549316406,137.14175013179357,-0.0211587254489674,True,True,True,AFG
2024-10-25,129.41000366210938,138.77000427246094,139.18000475027392,-0.0029458288821633256,True,True,True,AFG
2024-10-28,129.97000122070312,142.2100067138672,132.43816391446134,0.07378419113177412,True,True,True,AFG
2024-10-29,128.67999267578125,143.5,127.82594348448298,0.12262030764842134,False,True,False,AFG
2024-10-30,130.38999938964844,143.7899932861328,141.89104094531106,0.013383172948556085,True,True,True,AFG
2024-10-31,128.92999267578125,142.00999450683594,138.17266460652388,0.027771990293736257,True,True,True,AFG
2024-11-04,126.80999755859375,139.63999938964844,139.51250379950147,0.0009138649703412424,True,True,True,AFG
2024-11-05,127.44000244140625,138.4199981689453,141.8426092257947,-0.02412963971496768,True,True,True,AFG
2024-11-06,133.8000030517578,140.75999450683594,140.00338134345466,0.005404249212561231,True,True,True,AFG
2024-11-07,134.24000549316406,143.7899932861328,129.91833847445886,0.10677210757587567,False,True,False,AFG
2024-11-11,142.2100067138672,149.0800018310547,147.85366595375876,0.008294254115278144,True,True,True,AFG
2024-11-12,143.5,148.05999755859375,137.02693834651086,0.08051744675329985,False,True,False,AFG
2024-11-13,143.7899932861328,147.92999267578125,139.07603387505517,0.06366272141956826,False,True,False,AFG
2024-11-14,142.00999450683594,146.86000061035156,142.85840890102267,0.02801089372415827,True,True,True,AFG
2024-11-15,137.82000732421875,143.91000366210938,143.64208911454716,0.001865153516032237,True,True,True,AFG
2024-11-18,139.63999938964844,142.02999877929688,137.93791673334007,0.029666114603336836,False,True,False,AFG
2024-11-19,138.4199981689453,142.88999938964844,137.2911814591693,0.04078060856475497,False,True,False,AFG
2024-11-20,140.75999450683594,144.41000366210938,142.14664957579973,0.015922669250833892,True,True,True,AFG
2024-11-21,143.7899932861328,142.97999572753906,135.1578891751388,0.05787384369597779,False,False,True,AFG
2024-11-22,146.47000122070312,142.0,136.77246893110689,0.03822063833274994,False,False,True,AFG
2024-11-25,149.0800018310547,139.24000549316406,142.96744923034842,-0.026071974825393442,False,False,True,AFG
2024-11-26,148.05999755859375,139.97999572753906,143.8544374697108,-0.026933070750685194,False,False,True,AFG
2024-11-27,147.92999267578125,139.0500030517578,143.62480971689092,-0.03185248199214911,False,False,True,AFG
2024-11-29,146.86000061035156,139.91000366210938,132.2007148373471,0.05831503130862323,False,False,True,AFG
2024-12-02,143.91000366210938,139.7899932861328,129.72147332113227,0.07761644781874626,False,False,True,AFG
2024-12-03,142.02999877929688,137.91000366210938,143.20022374653118,-0.036942819962248505,True,False,False,AFG
2024-12-06,142.97999572753906,136.97999572753906,133.80808478424422,0.023704927459423115,False,False,True,AFG
2024-12-10,139.24000549316406,138.3300018310547,130.06953089611721,0.06350811660522458,False,False,True,AFG
2024-12-11,139.97999572753906,138.16000366210938,138.87344978053773,-0.005137383132310839,False,False,True,AFG
2024-12-12,139.0500030517578,137.0,132.45407166075188,0.0343207897065738,False,False,True,AFG
2024-12-13,139.91000366210938,136.0399932861328,139.69630158476562,-0.02617326484061724,False,False,True,AFG
2024-12-16,139.7899932861328,136.92999267578125,129.36065705888615,0.058513428958925834,False,False,True,AFG
2024-12-19,136.4600067138672,132.3800048828125,140.6894540141293,-0.05906234542983078,True,False,False,AFG
2024-12-23,137.2899932861328,132.25999450683594,138.3077500382763,-0.04372680149714439,True,False,False,AFG
2024-12-24,138.3300018310547,129.86000061035156,144.04138433021575,-0.09845353670965337,True,False,False,AFG
