Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-23,71.20999908447266,71.70999908447266,70.29259902954101,0.02016428577830753,False,True,False,QSR
2024-07-24,69.91999816894531,70.5199966430664,68.48230178833008,0.02975505789852947,False,True,False,QSR
2024-07-25,68.56999969482422,71.93000030517578,69.91519950866699,0.028817779405163977,True,True,True,QSR
2024-07-30,69.08999633789062,70.66000366210938,68.65400154113769,0.029219012380067664,False,True,False,QSR
2024-07-31,69.98999786376953,70.5999984741211,69.59769966125488,0.014401320988259556,False,True,False,QSR
2024-08-01,69.73999786376953,71.2699966430664,69.84200035095215,0.02044609668879266,True,True,True,QSR
2024-08-05,69.62000274658203,71.58999633789062,69.70129791259765,0.027097033797868677,True,True,True,QSR
2024-08-06,71.70999908447266,71.4800033569336,69.54169830322266,0.0278725584937449,False,False,True,QSR
2024-08-07,70.5199966430664,72.2300033569336,71.12329757690429,0.015560383414909033,True,True,True,QSR
2024-08-09,70.51000213623047,70.36000061035156,69.36970001220703,0.014275693825550134,False,False,True,QSR
2024-08-12,69.80999755859375,69.95999908447266,71.03669929504395,-0.015156957196157448,True,True,True,QSR
2024-08-13,70.66000366210938,69.48999786376953,70.87499946594238,-0.019541468960975233,True,False,False,QSR
2024-08-14,70.5999984741211,69.11000061035156,69.28760002136231,-0.0025632207055229198,False,False,True,QSR
2024-08-15,71.2699966430664,69.06999969482422,71.15179962158203,-0.029258570237573455,False,False,True,QSR
2024-08-16,70.80999755859375,69.4800033569336,70.27940093994141,-0.011374564556845858,False,False,True,QSR
2024-08-19,71.58999633789062,68.44000244140625,69.69689956665039,-0.01803375950808515,False,False,True,QSR
2024-08-20,71.4800033569336,68.6500015258789,70.57260208129883,-0.02724287469526921,False,False,True,QSR
2024-08-21,72.2300033569336,67.93000030517578,71.56280212402343,-0.050763828567692876,False,False,True,QSR
2024-08-22,71.33999633789062,67.62999725341797,70.59840049743653,-0.04204632432325921,False,False,True,QSR
2024-08-23,70.36000061035156,67.80999755859375,70.55139785766602,-0.038856782180317795,True,False,False,QSR
2024-08-26,69.95999908447266,66.55000305175781,71.52210205078126,-0.06951835665418803,True,False,False,QSR
2024-08-29,69.06999969482422,69.18000030517578,69.10130020141601,0.00113890915989102,True,True,True,QSR
2024-08-30,69.4800033569336,69.93000030517578,71.24780006408692,-0.01849600630090731,True,True,True,QSR
2024-09-03,68.44000244140625,69.27999877929688,70.07679924011231,-0.011370388908392674,True,True,True,QSR
2024-09-04,68.6500015258789,69.25,68.430498046875,0.011975683014372306,False,True,False,QSR
2024-09-05,67.93000030517578,71.06999969482422,70.64229888916016,0.006054457632177781,True,True,True,QSR
2024-09-06,67.62999725341797,70.27999877929688,71.16090225219726,-0.012379037435169472,True,True,True,QSR
2024-09-09,67.80999755859375,70.54000091552734,68.27369827270508,0.03319437353122419,True,True,True,QSR
2024-09-10,66.55000305175781,70.63999938964844,69.67780220031739,0.01380923563812791,True,True,True,QSR
2024-09-12,69.13999938964844,70.8499984741211,70.10109855651855,0.010683140963885857,True,True,True,QSR
2024-09-13,69.18000030517578,71.27999877929688,69.16690101623536,0.03055070752071885,False,True,False,QSR
2024-09-16,69.93000030517578,72.12000274658203,70.97009773254395,0.016202669163167635,True,True,True,QSR
2024-09-18,69.25,72.41000366210938,71.07380111694336,0.018800212232457602,True,True,True,QSR
2024-09-20,70.27999877929688,71.76000213623047,70.54909912109375,0.017163975588947947,True,True,True,QSR
2024-09-23,70.54000091552734,69.87999725341797,70.38080032348633,-0.007115620563655879,False,False,True,QSR
2024-09-25,69.68000030517578,70.48999786376953,71.55060203552246,-0.014823134139757116,True,True,True,QSR
