Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker
2024-07-31,262.6199951171875,262.82000732421875,272.15420501708985,-0.03429745901697518,True,True,True,ADP
2024-08-01,261.29998779296875,263.6600036621094,275.0983041381836,-0.04157895670025179,True,True,True,ADP
2024-08-02,263.5199890136719,264.0899963378906,275.71060760498045,-0.0421478570158572,True,True,True,ADP
2024-08-07,258.9100036621094,267.8500061035156,276.6365063476562,-0.03176189708345426,True,True,True,ADP
2024-08-08,262.7900085449219,269.3800048828125,275.94879974365233,-0.02380439729015684,True,True,True,ADP
2024-08-09,262.17999267578125,269.6000061035156,276.13199432373045,-0.023655311063146427,True,True,True,ADP
2024-08-13,261.9100036621094,274.67999267578125,284.7759069824219,-0.03545213643113357,True,True,True,ADP
2024-08-14,262.82000732421875,272.67999267578125,273.0067098999023,-0.0011967369748562566,True,True,True,ADP
2024-08-15,263.6600036621094,273.3599853515625,274.8000973510742,-0.005240580383317265,True,True,True,ADP
2024-08-19,264.6499938964844,275.54998779296875,272.1787982177734,0.012385937469302817,True,True,True,ADP
2024-08-20,264.5400085449219,275.2200012207031,280.0765969848633,-0.017340241264151828,True,True,True,ADP
2024-08-21,267.8500061035156,270.1700134277344,271.615403137207,-0.005321457077831829,True,True,True,ADP
2024-08-22,269.3800048828125,269.55999755859375,277.8796911621094,-0.029939912372588987,True,True,True,ADP
2024-08-23,269.6000061035156,275.5899963378906,267.195002746582,0.03141897679602466,False,True,False,ADP
2024-08-26,271.3500061035156,279.260009765625,274.4194943237305,0.017639109254330914,True,True,True,ADP
2024-08-27,274.67999267578125,277.4800109863281,274.57899780273436,0.010565313468286219,False,True,False,ADP
2024-08-28,272.67999267578125,278.3999938964844,271.35810150146483,0.02595055152603038,False,True,False,ADP
2024-08-29,273.3599853515625,277.510009765625,273.3960906982422,0.015047468516744503,True,True,True,ADP
2024-08-30,275.9100036621094,278.6000061035156,277.2564907836914,0.004845748844424392,True,True,True,ADP
2024-09-03,275.54998779296875,279.4100036621094,269.3713000488281,0.03726716102072333,False,True,False,ADP
2024-09-04,275.2200012207031,275.9100036621094,279.8027014160156,-0.013912295107253149,True,True,True,ADP
2024-09-09,275.5899963378906,277.5799865722656,277.4286038208008,0.0005456638190149256,True,True,True,ADP
2024-09-10,279.260009765625,276.6400146484375,268.8814974975586,0.028854782582982855,False,False,True,ADP
2024-09-11,277.4800109863281,275.25,281.921891784668,-0.02366574565186298,True,False,False,ADP
2024-09-12,278.3999938964844,274.42999267578125,279.0323028564453,-0.016493825745443634,True,False,False,ADP
2024-09-13,277.510009765625,272.8800048828125,283.49850189208985,-0.03745521383149723,True,False,False,ADP
2024-09-16,278.6000061035156,276.7300109863281,273.90229461669924,0.010323814094314229,False,False,True,ADP
2024-09-17,279.4100036621094,280.0799865722656,278.8099038696289,0.004555371545304276,False,True,False,ADP
2024-09-18,275.9100036621094,283.54998779296875,278.7801058959961,0.017109836018041235,True,True,True,ADP
2024-09-20,276.4100036621094,285.1600036621094,285.29529449462893,-0.00047421333309829815,True,True,True,ADP
2024-09-23,277.5799865722656,282.1199951171875,279.4193957519531,0.00966503902839932,True,True,True,ADP
2024-09-24,276.6400146484375,285.4200134277344,274.1504034423828,0.04110739887245892,False,True,False,ADP
2024-09-26,274.42999267578125,286.9100036621094,285.0944009399414,0.006368426444651382,True,True,True,ADP
2024-09-30,276.7300109863281,291.0,277.85530181884764,0.04730771050653648,True,True,True,ADP
2024-10-01,280.0799865722656,290.0400085449219,276.57350982666014,0.04869048639799862,False,True,False,ADP
2024-10-03,284.6199951171875,291.9599914550781,284.5522082519531,0.026033124988318064,False,True,False,ADP
