,ticker,total_predictions,total_correct_predicions,overall_success_rate,predicted_higher_correct,total_predicted_higher,predicted_higher_success_rate,adj_sell_vs_pred_pct,latest_close,last_date_for_prediction,prediction_price,adj_prediction_price,adj_prediction_higher
22,XLU,36,27,0.75,23,24,0.9583333333333334,-0.00039449648357691493,81.4800033569336,2024-10-17,80.12635040283203,80.09474083935626,False
8,MA,36,27,0.75,23,25,0.92,-0.00037078054952586196,513.760009765625,2024-10-17,494.0524960327148,493.8693109767412,False
28,NVDA,36,31,0.8611111111111112,23,25,0.92,-0.002432950574782586,136.92999267578125,2024-10-17,118.29350143432617,118.0056991920185,False
32,ARCC,36,31,0.8611111111111112,19,21,0.9047619047619048,-0.0002967125888872525,21.579999923706055,2024-10-17,20.720299854278565,20.714151880466282,False
21,XLRE,36,29,0.8055555555555556,17,19,0.8947368421052632,-0.0032320829284083496,44.43000030517578,2024-10-17,43.84020023345947,43.6985050707069,False
33,ADP,36,25,0.6944444444444444,23,26,0.8846153846153846,0.0014411433528993948,291.9599914550781,2024-10-17,282.36700134277345,282.7739326698367,False
50,PLTR,36,25,0.6944444444444444,22,25,0.88,0.007327867480451689,42.0,2024-10-17,41.01255416870117,41.313088730684264,False
13,KO,36,31,0.8611111111111112,14,16,0.875,0.0008936289695939152,69.9000015258789,2024-10-17,71.20585887139408,71.26949048968639,True
42,QSR,36,29,0.8055555555555556,14,16,0.875,-0.001517009776981574,71.06999969482422,2024-10-17,70.10051040530723,69.99416724565098,False
35,AXS,36,25,0.6944444444444444,21,24,0.875,0.002563878556379846,82.80000305175781,2024-10-17,78.8198999786377,79.02198463000892,False
31,AFG,36,28,0.7777777777777778,21,24,0.875,-0.0009287168589301015,137.92999267578125,2024-10-17,135.2694989013672,135.14387183723846,False
24,XLP,36,27,0.75,15,18,0.8333333333333334,-0.0003085159776696283,82.05999755859375,2024-10-17,82.48909942626953,82.46365022111294,True
41,PRU,36,28,0.7777777777777778,19,23,0.8260869565217391,0.0022630763352188697,127.81999969482422,2024-10-17,118.14747619628906,118.41485295373472,False
26,XLE,36,27,0.75,14,17,0.8235294117647058,-0.001961508411038302,90.63999938964844,2024-10-17,89.49335430014446,89.3178123329527,False
20,XLF,36,26,0.7222222222222222,18,22,0.8181818181818182,-0.002559082494912197,47.61000061035156,2024-10-17,46.352800636291505,46.23417999559302,False
12,AMZN,36,27,0.75,17,21,0.8095238095238095,0.0031285673950952773,187.52999877929688,2024-10-17,179.50640228271484,180.06800016010743,False
6,KR,36,26,0.7222222222222222,16,20,0.8,0.0038916830251822473,56.540000915527344,2024-10-17,54.74620006561279,54.95925492310137,False
39,CTBI,36,28,0.7777777777777778,16,20,0.8,0.0013998761717529489,51.47999954223633,2024-10-17,48.96332931518555,49.031871913183565,False
5,VAC,36,27,0.75,15,19,0.7894736842105263,-2.8275866919487392e-05,80.37000274658203,2024-10-17,73.36129920959473,73.35922485526125,False
2,DRI,36,24,0.6666666666666666,18,23,0.782608695652174,0.0016632448282473747,164.27000427246094,2024-10-17,157.96490341186524,158.22763772050962,False
48,SYY,36,26,0.7222222222222222,14,18,0.7777777777777778,-0.0017885208605621116,75.37999725341797,2024-10-17,76.25780113220215,76.12141246409661,True
47,NSC,36,27,0.75,17,22,0.7727272727272727,-0.0014312351044297549,248.24000549316406,2024-10-17,248.0331005859375,247.67810690531834,False
3,PAYX,36,22,0.6111111111111112,20,26,0.7692307692307693,-0.0026830775786643277,142.32000732421875,2024-10-17,134.62050048828124,134.25930324179257,False
19,XLY,36,26,0.7222222222222222,20,26,0.7692307692307693,0.0030931981597532897,198.72999572753906,2024-10-17,190.94519211346955,191.53582343032866,False
44,TRN,36,26,0.7222222222222222,16,21,0.7619047619047619,0.004638109522476097,35.20000076293945,2024-10-17,33.56839988708496,33.72409380225553,False
17,XLK,36,24,0.6666666666666666,19,25,0.76,0.002119623659976107,230.08999633789062,2024-10-17,220.02710052490235,220.49347517301086,False
18,XLI,36,22,0.6111111111111112,22,29,0.7586206896551724,0.00022028588106347765,138.85000610351562,2024-10-17,134.95402999299162,134.98375846039167,False
49,DDOG,36,25,0.6944444444444444,18,24,0.75,-0.004123623800141628,126.22000122070312,2024-10-17,117.50180354477322,117.01727031111643,False
16,BFIN,36,28,0.7777777777777778,14,19,0.7368421052631579,0.0004710397006994078,12.420000076293945,2024-10-17,11.9349001121521,11.940521923928806,False
25,XLV,36,26,0.7222222222222222,11,15,0.7333333333333333,-0.0012348929491985431,152.38999938964844,2024-10-17,153.68327348050113,153.4934910896703,True
15,JCI,36,22,0.6111111111111112,19,26,0.7307692307692307,-0.0026224503752651732,77.25,2024-10-17,74.00217478468758,73.80810775365303,False
9,PG,36,27,0.75,16,22,0.7272727272727273,0.0007256981295910047,172.27999877929688,2024-10-17,170.9945004272461,171.11859081637652,False
36,BAX,36,26,0.7222222222222222,13,18,0.7222222222222222,-0.0002595684918197615,36.650001525878906,2024-10-17,38.8764998626709,38.86640874823431,True
1,GOOG,36,23,0.6388888888888888,10,14,0.7142857142857143,-0.0025788509868672743,164.50999450683594,2024-10-17,163.1163998413086,162.6957469526036,False
34,AVNT,36,22,0.6111111111111112,17,24,0.7083333333333334,0.0024392939118553876,51.279998779296875,2024-10-17,48.931915283203125,49.05127460624887,False
7,CMI,36,22,0.6111111111111112,19,27,0.7037037037037037,0.0040315276478028765,332.989990234375,2024-10-17,313.0983953857422,314.36066022322257,False
27,XLC,36,21,0.5833333333333334,19,27,0.7037037037037037,0.0009742772274961085,90.55999755859375,2024-10-17,89.36393737792969,89.45100262707639,False
14,CSCO,36,20,0.5555555555555556,19,27,0.7037037037037037,0.00704900466028246,56.400001525878906,2024-10-17,51.50290061950684,51.86594480599181,False
23,XLB,36,21,0.5833333333333334,16,23,0.6956521739130435,0.0012302105281414223,97.23999786376953,2024-10-17,94.46170082092286,94.57790859977891,False
0,AAPL,36,27,0.75,18,26,0.6923076923076923,0.0006703503386309125,232.14999389648438,2024-10-17,227.60047009563615,227.75304214783733,False
37,CPB,36,23,0.6388888888888888,11,16,0.6875,-0.0018427753556088376,48.709999084472656,2024-10-17,49.99270011901856,49.900574803278886,True
4,SBUX,36,22,0.6111111111111112,15,22,0.6818181818181818,0.002644554450396607,95.2699966430664,2024-10-17,95.25829887390137,95.51021463212555,True
51,AMD,36,22,0.6111111111111112,19,28,0.6785714285714286,0.003979848761676587,156.25,2024-10-17,163.2894024658203,163.93926959201883,True
38,CNI,36,25,0.6944444444444444,12,18,0.6666666666666666,0.00019525831653514116,114.44000244140625,2024-10-17,115.67940032958984,115.701987694556,True
43,SUN,36,26,0.7222222222222222,10,15,0.6666666666666666,0.0019500454211162335,51.869998931884766,2024-10-17,52.828099975585936,52.9311171700496,True
